province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
BALOCHISTAN,104,AWARAN DISTRICT,NA,NA,NA,YES,AWARAN DISTRICT,4184,1067,717,2400,2332,2077,8,3809,3826,2943,7.81
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN TEHSIL,NA,NA,YES,AWARAN TEHSIL,2690,767,623,1300,1370,1686,5,2579,2523,2085,7.81
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN MC,NA,YES,AWARAN MC,2690,767,623,1300,1370,1686,5,2579,2523,2085,7.81
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN MC,CHARGE NO 06,YES,CHARGE NO 06,2690,767,623,1300,1370,1686,5,2579,2523,2085,7.81
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN MC,CHARGE NO 06,NO,CIRCLE NO 01,904,272,172,460,458,525,4,853,865,766,7.57
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN MC,CHARGE NO 06,NO,CIRCLE NO 02,685,190,206,289,457,569,1,668,656,483,7.84
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN MC,CHARGE NO 06,NO,CIRCLE NO 03,279,43,28,208,62,50,0,266,223,158,5.38
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN TEHSIL,AWARAN MC,CHARGE NO 06,NO,CIRCLE NO 04,822,262,217,343,393,542,0,792,779,678,8.86
BALOCHISTAN,104,AWARAN DISTRICT,MASHKAI TEHSIL,NA,NA,YES,MASHKAI TEHSIL,1494,300,94,1100,962,391,3,1230,1303,858,7.82
BALOCHISTAN,104,AWARAN DISTRICT,MASHKAI TEHSIL,GUJAR MASHKAI MC,NA,YES,GUJAR MASHKAI MC,1494,300,94,1100,962,391,3,1230,1303,858,7.82
BALOCHISTAN,104,AWARAN DISTRICT,MASHKAI TEHSIL,GUJAR MASHKAI MC,CHARGE NO 07,YES,CHARGE NO 07,1494,300,94,1100,962,391,3,1230,1303,858,7.82
BALOCHISTAN,104,AWARAN DISTRICT,MASHKAI TEHSIL,GUJAR MASHKAI MC,CHARGE NO 07,NO,CIRCLE NO 01,579,95,30,454,385,185,3,460,507,292,7.68
BALOCHISTAN,104,AWARAN DISTRICT,MASHKAI TEHSIL,GUJAR MASHKAI MC,CHARGE NO 07,NO,CIRCLE NO 02,464,111,44,309,384,197,0,403,433,361,9.73
BALOCHISTAN,104,AWARAN DISTRICT,MASHKAI TEHSIL,GUJAR MASHKAI MC,CHARGE NO 07,NO,CIRCLE NO 03,451,94,20,337,193,9,0,367,363,205,6.04
