province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,OWNED,1,17945,99.11,3128,17.28,3106
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENTED,1,92,0.51,3128,17.28,7
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENT FREE,1,69,0.38,3128,17.28,15
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,OWNED,2,17945,99.11,7221,39.88,7160
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENTED,2,92,0.51,7221,39.88,40
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENT FREE,2,69,0.38,7221,39.88,21
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,OWNED,3,17945,99.11,3674,20.29,3634
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENTED,3,92,0.51,3674,20.29,25
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENT FREE,3,69,0.38,3674,20.29,15
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,OWNED,4,17945,99.11,2067,11.42,2048
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENTED,4,92,0.51,2067,11.42,11
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENT FREE,4,69,0.38,2067,11.42,8
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,OWNED,5,17945,99.11,769,4.25,760
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENTED,5,92,0.51,769,4.25,5
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENT FREE,5,69,0.38,769,4.25,4
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,OWNED,6,17945,99.11,452,2.5,450
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENTED,6,92,0.51,452,2.5,2
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENT FREE,6,69,0.38,452,2.5,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,OWNED,7,17945,99.11,273,1.51,270
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENTED,7,92,0.51,273,1.51,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENT FREE,7,69,0.38,273,1.51,3
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,OWNED,8,17945,99.11,158,0.87,157
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENTED,8,92,0.51,158,0.87,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENT FREE,8,69,0.38,158,0.87,1
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,OWNED,9,17945,99.11,364,2.01,360
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENTED,9,92,0.51,364,2.01,2
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,TOTAL,RENT FREE,9,69,0.38,364,2.01,2
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,OWNED,1,13875,99.66,2522,18.12,2508
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENTED,1,21,0.15,2522,18.12,5
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENT FREE,1,26,0.19,2522,18.12,9
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,OWNED,2,13875,99.66,5885,42.27,5869
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENTED,2,21,0.15,5885,42.27,9
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENT FREE,2,26,0.19,5885,42.27,7
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,OWNED,3,13875,99.66,2909,20.89,2898
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENTED,3,21,0.15,2909,20.89,4
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENT FREE,3,26,0.19,2909,20.89,7
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,OWNED,4,13875,99.66,1456,10.46,1454
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENTED,4,21,0.15,1456,10.46,1
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENT FREE,4,26,0.19,1456,10.46,1
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,OWNED,5,13875,99.66,495,3.56,493
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENTED,5,21,0.15,495,3.56,2
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENT FREE,5,26,0.19,495,3.56,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,OWNED,6,13875,99.66,253,1.82,253
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENTED,6,21,0.15,253,1.82,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENT FREE,6,26,0.19,253,1.82,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,OWNED,7,13875,99.66,134,0.96,133
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENTED,7,21,0.15,134,0.96,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENT FREE,7,26,0.19,134,0.96,1
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,OWNED,8,13875,99.66,96,0.69,96
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENTED,8,21,0.15,96,0.69,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENT FREE,8,26,0.19,96,0.69,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,OWNED,9,13875,99.66,172,1.24,171
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENTED,9,21,0.15,172,1.24,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,RURAL,RENT FREE,9,26,0.19,172,1.24,1
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,OWNED,1,4070,97.28,606,14.48,598
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENTED,1,71,1.7,606,14.48,2
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENT FREE,1,43,1.03,606,14.48,6
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,OWNED,2,4070,97.28,1336,31.93,1291
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENTED,2,71,1.7,1336,31.93,31
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENT FREE,2,43,1.03,1336,31.93,14
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,OWNED,3,4070,97.28,765,18.28,736
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENTED,3,71,1.7,765,18.28,21
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENT FREE,3,43,1.03,765,18.28,8
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,OWNED,4,4070,97.28,611,14.6,594
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENTED,4,71,1.7,611,14.6,10
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENT FREE,4,43,1.03,611,14.6,7
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,OWNED,5,4070,97.28,274,6.55,267
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENTED,5,71,1.7,274,6.55,3
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENT FREE,5,43,1.03,274,6.55,4
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,OWNED,6,4070,97.28,199,4.76,197
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENTED,6,71,1.7,199,4.76,2
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENT FREE,6,43,1.03,199,4.76,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,OWNED,7,4070,97.28,139,3.32,137
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENTED,7,71,1.7,139,3.32,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENT FREE,7,43,1.03,139,3.32,2
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,OWNED,8,4070,97.28,62,1.48,61
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENTED,8,71,1.7,62,1.48,0
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENT FREE,8,43,1.03,62,1.48,1
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,OWNED,9,4070,97.28,192,4.59,189
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENTED,9,71,1.7,192,4.59,2
BALOCHISTAN,104,AWARAN DISTRICT,AWARAN DISTRICT,URBAN,RENT FREE,9,43,1.03,192,4.59,1
