province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,TOTAL,622,ALL SEXES,339665
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,TOTAL,622,MALE,175522
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,TOTAL,622,FEMALE,164142
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,TOTAL,622,TRANSGENDER,1
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"5,000 AND ABOVE",5,ALL SEXES,30076
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"5,000 AND ABOVE",5,MALE,15124
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"5,000 AND ABOVE",5,FEMALE,14952
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"5,000 AND ABOVE",5,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"2,000 - 4,999",27,ALL SEXES,78534
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"2,000 - 4,999",27,MALE,40481
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"2,000 - 4,999",27,FEMALE,38052
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"2,000 - 4,999",27,TRANSGENDER,1
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"1,000 - 1,999",64,ALL SEXES,88029
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"1,000 - 1,999",64,MALE,45622
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"1,000 - 1,999",64,FEMALE,42407
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,"1,000 - 1,999",64,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,500 - 999,109,ALL SEXES,78859
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,500 - 999,109,MALE,40985
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,500 - 999,109,FEMALE,37874
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,500 - 999,109,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,200 - 499,125,ALL SEXES,43330
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,200 - 499,125,MALE,22365
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,200 - 499,125,FEMALE,20965
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,200 - 499,125,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,LESS THAN 200,260,ALL SEXES,20837
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,LESS THAN 200,260,MALE,10945
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,LESS THAN 200,260,FEMALE,9892
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,LESS THAN 200,260,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,UN-INHABITED,32,ALL SEXES,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,UN-INHABITED,32,MALE,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,UN-INHABITED,32,FEMALE,0
BALOCHISTAN,105,KALAT DISTRICT,KALAT DISTRICT,UN-INHABITED,32,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,TOTAL,58,ALL SEXES,5721
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,TOTAL,58,MALE,3112
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,TOTAL,58,FEMALE,2609
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,TOTAL,58,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,"5,000 AND ABOVE",0,ALL SEXES,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,"5,000 AND ABOVE",0,MALE,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,"5,000 AND ABOVE",0,FEMALE,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,"5,000 AND ABOVE",0,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,"2,000 - 4,999",0,ALL SEXES,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,"2,000 - 4,999",0,MALE,0
BALOCHISTAN,105,KALAT DISTRICT,GAZG SUB-TEHSIL,"2,000 - 4,999",0,FEMALE,0
