province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,1,23120,94.7,10046,41.15,9470
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,1,213,0.87,10046,41.15,29
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,1,1080,4.42,10046,41.15,547
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,2,23120,94.7,7449,30.51,7003
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,2,213,0.87,7449,30.51,75
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,2,1080,4.42,7449,30.51,371
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,3,23120,94.7,3573,14.64,3419
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,3,213,0.87,3573,14.64,56
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,3,1080,4.42,3573,14.64,98
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,4,23120,94.7,1878,7.69,1807
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,4,213,0.87,1878,7.69,32
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,4,1080,4.42,1878,7.69,39
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,5,23120,94.7,615,2.52,594
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,5,213,0.87,615,2.52,13
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,5,1080,4.42,615,2.52,8
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,6,23120,94.7,312,1.28,302
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,6,213,0.87,312,1.28,3
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,6,1080,4.42,312,1.28,7
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,7,23120,94.7,172,0.7,167
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,7,213,0.87,172,0.7,0
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,7,1080,4.42,172,0.7,5
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,8,23120,94.7,114,0.47,112
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,8,213,0.87,114,0.47,1
