province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,KITCHEN,SEPARATE,9302,38.1,8872
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,KITCHEN,SHARED,11296,46.27,10865
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,KITCHEN,NONE,3815,15.63,3383
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,BATH,SEPARATE,8452,34.62,8002
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,BATH,SHARED,13492,55.27,12899
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,BATH,NONE,2469,10.11,2219
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,LATRINE,SEWER,796,3.26,754
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,LATRINE,SEPTIC TANK,989,4.05,959
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,LATRINE,OPEN DRAIN,1273,5.21,1219
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,LATRINE,PIT WITH SLAB,11488,47.06,10977
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,LATRINE,OTHER,4629,18.96,4357
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,OWNED,23120,94.7,LATRINE,NONE,5238,21.46,4854
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,KITCHEN,SEPARATE,9302,38.1,112
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,KITCHEN,SHARED,11296,46.27,89
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,KITCHEN,NONE,3815,15.63,12
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,BATH,SEPARATE,8452,34.62,102
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,BATH,SHARED,13492,55.27,106
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,BATH,NONE,2469,10.11,5
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,LATRINE,SEWER,796,3.26,17
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,LATRINE,SEPTIC TANK,989,4.05,12
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,LATRINE,OPEN DRAIN,1273,5.21,6
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,LATRINE,PIT WITH SLAB,11488,47.06,150
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,LATRINE,OTHER,4629,18.96,20
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENTED,213,0.87,LATRINE,NONE,5238,21.46,8
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,1080,4.42,KITCHEN,SEPARATE,9302,38.1,318
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,1080,4.42,KITCHEN,SHARED,11296,46.27,342
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,1080,4.42,KITCHEN,NONE,3815,15.63,420
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,1080,4.42,BATH,SEPARATE,8452,34.62,348
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,1080,4.42,BATH,SHARED,13492,55.27,487
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,1080,4.42,BATH,NONE,2469,10.11,245
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,1080,4.42,LATRINE,SEWER,796,3.26,25
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,1080,4.42,LATRINE,SEPTIC TANK,989,4.05,18
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,TOTAL,RENT FREE,1080,4.42,LATRINE,OPEN DRAIN,1273,5.21,48
