province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,35380,798896,419351,379468,77,110.51,22.58,34.52,6.59,417466,3.47
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,RURAL,NA,523134,274438,248631,65,110.38,NA,NA,6.36,299218,2.98
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,URBAN,NA,275762,144913,130837,12,110.76,NA,NA,7.06,118248,4.55
BALOCHISTAN,107,KHUZDAR DISTRICT,ARANJI SUB-TEHSIL,TOTAL,7456,42318,22656,19658,4,115.25,5.68,0,6,28561,2.09
BALOCHISTAN,107,KHUZDAR DISTRICT,ARANJI SUB-TEHSIL,RURAL,NA,42318,22656,19658,4,115.25,NA,NA,6,28561,2.09
BALOCHISTAN,107,KHUZDAR DISTRICT,ARANJI SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,107,KHUZDAR DISTRICT,KARAKH SUB-TEHSIL,TOTAL,1352,31016,16082,14933,1,107.69,22.94,0,5.78,21984,1.82
BALOCHISTAN,107,KHUZDAR DISTRICT,KARAKH SUB-TEHSIL,RURAL,NA,31016,16082,14933,1,107.69,NA,NA,5.78,21984,1.82
BALOCHISTAN,107,KHUZDAR DISTRICT,KARAKH SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR TEHSIL,TOTAL,6112,299464,155682,143762,20,108.29,49,60.92,6.68,161845,3.29
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR TEHSIL,RURAL,NA,117020,60438,56569,13,106.84,NA,NA,6.4,70788,2.68
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR TEHSIL,URBAN,NA,182444,95244,87193,7,109.23,NA,NA,6.88,91057,3.72
BALOCHISTAN,107,KHUZDAR DISTRICT,MOOLA SUB-TEHSIL,TOTAL,3283,23386,12027,11350,9,105.96,7.12,0,6.1,13143,3.07
BALOCHISTAN,107,KHUZDAR DISTRICT,MOOLA SUB-TEHSIL,RURAL,NA,23386,12027,11350,9,105.96,NA,NA,6.1,13143,3.07
BALOCHISTAN,107,KHUZDAR DISTRICT,MOOLA SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,107,KHUZDAR DISTRICT,NAL SUB-TEHSIL,TOTAL,4413,130897,68737,62148,12,110.6,29.66,25.46,6.66,59314,4.25
BALOCHISTAN,107,KHUZDAR DISTRICT,NAL SUB-TEHSIL,RURAL,NA,97576,51298,46267,11,110.87,NA,NA,6.57,59314,2.65
BALOCHISTAN,107,KHUZDAR DISTRICT,NAL SUB-TEHSIL,URBAN,NA,33321,17439,15881,1,109.81,NA,NA,6.95,NA,NA
BALOCHISTAN,107,KHUZDAR DISTRICT,ORNACH SUB-TEHSIL,TOTAL,3368,37588,20191,17395,2,116.07,11.16,0,5.7,20907,3.13
BALOCHISTAN,107,KHUZDAR DISTRICT,ORNACH SUB-TEHSIL,RURAL,NA,37588,20191,17395,2,116.07,NA,NA,5.7,20907,3.13
BALOCHISTAN,107,KHUZDAR DISTRICT,ORNACH SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,107,KHUZDAR DISTRICT,SAROONA SUB-TEHSIL,TOTAL,3257,32125,17427,14696,2,118.58,9.86,0,5.23,20580,2.37
BALOCHISTAN,107,KHUZDAR DISTRICT,SAROONA SUB-TEHSIL,RURAL,NA,32125,17427,14696,2,118.58,NA,NA,5.23,20580,2.37
BALOCHISTAN,107,KHUZDAR DISTRICT,SAROONA SUB-TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALOCHISTAN,107,KHUZDAR DISTRICT,WADH TEHSIL,TOTAL,2118,100115,52281,47817,17,109.34,47.27,22.18,6.11,52333,3.47
BALOCHISTAN,107,KHUZDAR DISTRICT,WADH TEHSIL,RURAL,NA,77906,40448,37443,15,108.03,NA,NA,6.07,38539,3.77
BALOCHISTAN,107,KHUZDAR DISTRICT,WADH TEHSIL,URBAN,NA,22209,11833,10374,2,114.06,NA,NA,6.27,13794,2.53
BALOCHISTAN,107,KHUZDAR DISTRICT,ZEHRI TEHSIL,TOTAL,4021,101987,54268,47709,10,113.75,25.36,37.05,9.06,38799,5.21
BALOCHISTAN,107,KHUZDAR DISTRICT,ZEHRI TEHSIL,RURAL,NA,64199,33871,30320,8,111.71,NA,NA,9.08,25402,4.99
BALOCHISTAN,107,KHUZDAR DISTRICT,ZEHRI TEHSIL,URBAN,NA,37788,20397,17389,2,117.3,NA,NA,9.02,13397,5.6
