province_name,district_code,district_name,area_name,locality_name,locality_bucket,pop_98,avg_annual_growth_98_17,avg_hh_size,gender,total_population
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR TEHSIL,KHUZDAR MUNICIPAL CORPORATION,"100,000 - 199,999",91057,3.72,6.88,ALL SEXES,182444
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR TEHSIL,KHUZDAR MUNICIPAL CORPORATION,"100,000 - 199,999",91057,3.72,6.88,MALE,95244
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR TEHSIL,KHUZDAR MUNICIPAL CORPORATION,"100,000 - 199,999",91057,3.72,6.88,FEMALE,87193
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR TEHSIL,KHUZDAR MUNICIPAL CORPORATION,"100,000 - 199,999",91057,3.72,6.88,TRANSGENDER,7
BALOCHISTAN,107,KHUZDAR DISTRICT,ZEHRI TEHSIL,ZEHRI MC,"25,000 - 49,999",13397,5.6,9.02,ALL SEXES,37788
BALOCHISTAN,107,KHUZDAR DISTRICT,ZEHRI TEHSIL,ZEHRI MC,"25,000 - 49,999",13397,5.6,9.02,MALE,20397
BALOCHISTAN,107,KHUZDAR DISTRICT,ZEHRI TEHSIL,ZEHRI MC,"25,000 - 49,999",13397,5.6,9.02,FEMALE,17389
BALOCHISTAN,107,KHUZDAR DISTRICT,ZEHRI TEHSIL,ZEHRI MC,"25,000 - 49,999",13397,5.6,9.02,TRANSGENDER,2
BALOCHISTAN,107,KHUZDAR DISTRICT,NAL SUB-TEHSIL,NAL MC,"25,000 - 49,999",NA,NA,6.95,ALL SEXES,33321
BALOCHISTAN,107,KHUZDAR DISTRICT,NAL SUB-TEHSIL,NAL MC,"25,000 - 49,999",NA,NA,6.95,MALE,17439
BALOCHISTAN,107,KHUZDAR DISTRICT,NAL SUB-TEHSIL,NAL MC,"25,000 - 49,999",NA,NA,6.95,FEMALE,15881
BALOCHISTAN,107,KHUZDAR DISTRICT,NAL SUB-TEHSIL,NAL MC,"25,000 - 49,999",NA,NA,6.95,TRANSGENDER,1
BALOCHISTAN,107,KHUZDAR DISTRICT,WADH TEHSIL,WADH MC,"10,000 - 24,999",13794,2.53,6.27,ALL SEXES,22209
BALOCHISTAN,107,KHUZDAR DISTRICT,WADH TEHSIL,WADH MC,"10,000 - 24,999",13794,2.53,6.27,MALE,11833
BALOCHISTAN,107,KHUZDAR DISTRICT,WADH TEHSIL,WADH MC,"10,000 - 24,999",13794,2.53,6.27,FEMALE,10374
BALOCHISTAN,107,KHUZDAR DISTRICT,WADH TEHSIL,WADH MC,"10,000 - 24,999",13794,2.53,6.27,TRANSGENDER,2
