province_name,district_code,district_name,area_name,area_type,gender,ed_attainment,age_group,count
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,TOTAL,5 AND ABOVE,641122
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,TOTAL,05 - 09,150022
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,TOTAL,10 - 14,111535
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,TOTAL,15 - 19,72952
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,TOTAL,20 - 24,56103
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,TOTAL,25 - 29,52724
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,TOTAL,30 - 34,44576
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,TOTAL,35 - 39,36668
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,TOTAL,40 AND ABOVE,116542
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,NEVER ATTAINED,5 AND ABOVE,411711
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,NEVER ATTAINED,05 - 09,88837
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,NEVER ATTAINED,10 - 14,59068
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,NEVER ATTAINED,15 - 19,40763
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,NEVER ATTAINED,20 - 24,35232
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,NEVER ATTAINED,25 - 29,35443
BALOCHISTAN,107,KHUZDAR DISTRICT,KHUZDAR DISTRICT,TOTAL,ALL SEXES,NEVER ATTAINED,30 - 34,31127
