province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,ALL SEXES,576271,89608,14893,16661,19165,18879,20010,89023,17662,19103,17294,18804,16160,68595,16812,13703,14007,12009,12064,56906,11532,11080,10780,11890,11624,49258,11679,10909,9295,8567,8808,46169,9041,9097,9437,9211,9383,39254,8514,8817,7748,7226,6949,32258,6223,6553,6746,6399,6337,25215,5560,5520,4800,4776,4559,21114,3999,4513,4190,4144,4268,16757,3659,4106,3040,3233,2719,11625,2254,2366,2242,2348,2415,10958,2345,2465,2013,2138,1997,7856,1645,1905,1245,1580,1481,5162,1186,1358,815,989,814,6513
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,MALE,301204,45840,7692,8550,9709,9718,10171,46854,9122,9939,9223,9941,8629,36583,8967,7334,7482,6529,6271,30149,6126,5820,5636,6293,6274,26283,6370,5922,4904,4580,4507,22796,4474,4529,4625,4522,4646,20151,4354,4482,3951,3721,3643,17185,3217,3550,3657,3417,3344,13143,2831,2960,2514,2441,2397,11064,2142,2341,2183,2142,2256,9449,2026,2332,1704,1858,1529,6186,1247,1282,1174,1232,1251,5663,1216,1256,1035,1115,1041,4097,901,982,643,812,759,2643,614,687,407,522,413,3118
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,FEMALE,275056,43768,7201,8111,9456,9161,9839,42169,8540,9164,8071,8863,7531,32012,7845,6369,6525,5480,5793,26755,5405,5260,5144,5597,5349,22975,5309,4987,4391,3987,4301,23373,4567,4568,4812,4689,4737,19103,4160,4335,3797,3505,3306,15073,3006,3003,3089,2982,2993,12070,2728,2559,2286,2335,2162,10047,1856,2171,2006,2002,2012,7307,1633,1773,1336,1375,1190,5438,1007,1084,1068,1115,1164,5295,1129,1209,978,1023,956,3758,743,923,602,768,722,2518,571,671,408,467,401,3395
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,TRANSGENDER,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,ALL SEXES,294373,46480,7533,8416,10200,9481,10850,45952,8900,10438,8384,10236,7994,34336,8856,6586,7174,5675,6045,27258,5506,5456,5045,5755,5496,23424,5803,5104,4408,3889,4220,22642,4302,4482,4561,4604,4693,19745,4144,4449,3900,3641,3611,16804,3046,3446,3647,3364,3301,13308,2834,2858,2603,2516,2497,11292,2048,2375,2288,2212,2369,8979,1878,2242,1670,1765,1424,6137,1155,1228,1172,1286,1296,6148,1299,1447,1091,1183,1128,4697,940,1169,722,936,930,3232,757,896,456,597,526,3939
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,MALE,153099,23779,3893,4275,5162,4933,5516,24257,4659,5400,4533,5441,4224,18176,4684,3513,3796,3083,3100,14230,2877,2773,2569,3015,2996,12393,3212,2770,2287,2024,2100,11005,2133,2211,2238,2212,2211,9888,2078,2201,1953,1801,1855,9029,1581,1897,1984,1816,1751,6877,1448,1511,1365,1266,1287,5825,1108,1207,1189,1117,1204,5099,1038,1251,950,1056,804,3233,623,680,613,655,662,3174,690,735,556,611,582,2471,520,601,375,480,495,1691,391,474,232,307,287,1972
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,FEMALE,141271,22701,3640,4141,5038,4548,5334,21695,4241,5038,3851,4795,3770,16160,4172,3073,3378,2592,2945,13028,2629,2683,2476,2740,2500,11031,2591,2334,2121,1865,2120,11637,2169,2271,2323,2392,2482,9857,2066,2248,1947,1840,1756,7775,1465,1549,1663,1548,1550,6430,1385,1347,1238,1250,1210,5466,940,1167,1099,1095,1165,3880,840,991,720,709,620,2903,532,548,559,630,634,2974,609,712,535,572,546,2226,420,568,347,456,435,1541,366,422,224,290,239,1967
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,TRANSGENDER,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,ALL SEXES,281898,43128,7360,8245,8965,9398,9160,43071,8762,8665,8910,8568,8166,34259,7956,7117,6833,6334,6019,29648,6026,5624,5735,6135,6128,25834,5876,5805,4887,4678,4588,23527,4739,4615,4876,4607,4690,19509,4370,4368,3848,3585,3338,15454,3177,3107,3099,3035,3036,11907,2726,2662,2197,2260,2062,9822,1951,2138,1902,1932,1899,7778,1781,1864,1370,1468,1295,5488,1099,1138,1070,1062,1119,4810,1046,1018,922,955,869,3159,705,736,523,644,551,1930,429,462,359,392,288,2574
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,MALE,148105,22061,3799,4275,4547,4785,4655,22597,4463,4539,4690,4500,4405,18407,4283,3821,3686,3446,3171,15919,3249,3047,3067,3278,3278,13890,3158,3152,2617,2556,2407,11791,2341,2318,2387,2310,2435,10263,2276,2281,1998,1920,1788,8156,1636,1653,1673,1601,1593,6266,1383,1449,1149,1175,1110,5239,1034,1134,994,1025,1052,4350,988,1081,754,802,725,2953,624,602,561,577,589,2489,526,521,479,504,459,1626,381,381,268,332,264,952,223,213,175,215,126,1146
