province_name,district_code,district_name,area_name,area_type,total_population,household_size,count
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,TOTAL,91089
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,01,2846
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,02,9674
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,03,10188
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,04,11016
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,05,10975
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,06,10573
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,07,9223
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,08,7641
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,09,5557
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,TOTAL,566095,10 AND UP,13396
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,TOTAL,53445
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,01,2026
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,02,7056
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,03,6940
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,04,7091
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,05,6677
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,06,6349
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,07,5373
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,08,4208
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,09,2932
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,RURAL,291661,10 AND UP,4793
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,TOTAL,37644
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,01,820
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,02,2618
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,03,3248
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,04,3925
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,05,4298
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,06,4224
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,07,3850
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,08,3433
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,09,2625
BALOCHISTAN,108,LASBELA DISTRICT,LASBELA DISTRICT,URBAN,274434,10 AND UP,8603
BALOCHISTAN,108,LASBELA DISTRICT,BELA TEHSIL,TOTAL,103433,TOTAL,18564
