province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,INSIDE WATER,TOTAL INSIDE,29410,76.86,26548
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,INSIDE WATER,TAP,15377,40.19,13979
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,INSIDE WATER,ELECTRIC/HAND PUMP,1983,5.18,1843
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,INSIDE WATER,PROTECTED WELL,4047,10.58,3818
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,INSIDE WATER,UN-PROTECTED WELL,1145,2.99,1030
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,INSIDE WATER,OTHERS,6858,17.92,5878
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,OUTSIDE WATER,TOTAL OUTSIDE,8853,23.14,7321
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,OUTSIDE WATER,TAP,210,0.55,182
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,OUTSIDE WATER,ELECTRIC/HAND PUMP,434,1.13,387
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,OUTSIDE WATER,PROTECTED WELL,934,2.44,873
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,OUTSIDE WATER,UN-PROTECTED WELL,77,0.2,70
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,OUTSIDE WATER,SPRING,285,0.74,259
BALOCHISTAN,109,MASTUNG DISTRICT,MASTUNG DISTRICT,TOTAL,OWNED,33869,88.52,OUTSIDE WATER,CANAL/RIVER/POND,4096,10.7,3436
