province_name,district_code,district_name,area_name,area_type,information_source,count
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,14014
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,TOTAL,RADIO,4951
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,TOTAL,TV,2836
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,TOTAL,NEWSPAPER,1372
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,TOTAL,MOBILE,2994
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,TOTAL,COMPUTER/INTERNET,8969
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,11909
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,RURAL,RADIO,4616
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,RURAL,TV,2724
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,RURAL,NEWSPAPER,1321
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,RURAL,MOBILE,2896
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,RURAL,COMPUTER/INTERNET,6980
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,2105
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,URBAN,RADIO,335
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,URBAN,TV,112
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,URBAN,NEWSPAPER,51
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,URBAN,MOBILE,98
BALOCHISTAN,110,WASHUK DISTRICT,WASHUK DISTRICT,URBAN,COMPUTER/INTERNET,1989
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,3233
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,TOTAL,RADIO,2258
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,TOTAL,TV,1126
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,TOTAL,NEWSPAPER,946
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,TOTAL,MOBILE,1871
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,TOTAL,COMPUTER/INTERNET,392
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,3233
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,RURAL,RADIO,2258
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,RURAL,TV,1126
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,RURAL,NEWSPAPER,946
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,RURAL,MOBILE,1871
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,RURAL,COMPUTER/INTERNET,392
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,0
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,URBAN,RADIO,0
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,URBAN,TV,0
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,URBAN,NEWSPAPER,0
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,URBAN,MOBILE,0
BALOCHISTAN,110,WASHUK DISTRICT,BESIMA SUB-TEHSIL,URBAN,COMPUTER/INTERNET,0
BALOCHISTAN,110,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,4908
BALOCHISTAN,110,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,TOTAL,RADIO,595
BALOCHISTAN,110,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,TOTAL,TV,1015
BALOCHISTAN,110,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,TOTAL,NEWSPAPER,73
BALOCHISTAN,110,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,TOTAL,MOBILE,490
BALOCHISTAN,110,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,TOTAL,COMPUTER/INTERNET,4754
BALOCHISTAN,110,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,4908
BALOCHISTAN,110,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,RURAL,RADIO,595
