province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,OWNED,36868,94.07,WALL,BAKED BRICKS/BLOCKS/STONES,23396,59.69,21627
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,OWNED,36868,94.07,WALL,UNBAKED BRICKS/MUD,8247,21.04,7860
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,OWNED,36868,94.07,WALL,WOOD/BAMBOO,6597,16.83,6489
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,OWNED,36868,94.07,WALL,OTHERS,954,2.43,892
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,OWNED,36868,94.07,ROOF,RCC/RBC,1803,4.6,1522
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,OWNED,36868,94.07,ROOF,CEMENT/IRON SHEETS,1872,4.78,1675
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,OWNED,36868,94.07,ROOF,GARDER/T.IRON,19375,49.43,18087
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,OWNED,36868,94.07,ROOF,WOOD/BAMBOO,15372,39.22,14890
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,OWNED,36868,94.07,ROOF,OTHERS,772,1.97,694
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,RENTED,1826,4.66,WALL,BAKED BRICKS/BLOCKS/STONES,23396,59.69,1408
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,RENTED,1826,4.66,WALL,UNBAKED BRICKS/MUD,8247,21.04,312
BALOCHISTAN,111,GWADAR DISTRICT,GWADAR DISTRICT,TOTAL,RENTED,1826,4.66,WALL,WOOD/BAMBOO,6597,16.83,55
