province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,1,1001,1.99,31106,61.88,442
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,1,10318,20.53,31106,61.88,6492
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,5-10 YEARS,1,19909,39.6,31106,61.88,12573
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,11-50 YEARS,1,17190,34.2,31106,61.88,10170
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OVER 50 YEARS,1,1852,3.68,31106,61.88,1429
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,2,1001,1.99,11505,22.89,328
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,2,10318,20.53,11505,22.89,2305
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,5-10 YEARS,2,19909,39.6,11505,22.89,4527
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,11-50 YEARS,2,17190,34.2,11505,22.89,4094
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OVER 50 YEARS,2,1852,3.68,11505,22.89,251
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3,1001,1.99,4456,8.86,142
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,3,10318,20.53,4456,8.86,931
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,5-10 YEARS,3,19909,39.6,4456,8.86,1601
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,11-50 YEARS,3,17190,34.2,4456,8.86,1696
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OVER 50 YEARS,3,1852,3.68,4456,8.86,86
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,4,1001,1.99,1847,3.67,42
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,4,10318,20.53,1847,3.67,339
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,5-10 YEARS,4,19909,39.6,1847,3.67,753
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,11-50 YEARS,4,17190,34.2,1847,3.67,664
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OVER 50 YEARS,4,1852,3.68,1847,3.67,49
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,5,1001,1.99,539,1.07,14
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,5,10318,20.53,539,1.07,91
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,5-10 YEARS,5,19909,39.6,539,1.07,183
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,11-50 YEARS,5,17190,34.2,539,1.07,235
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OVER 50 YEARS,5,1852,3.68,539,1.07,16
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,6,1001,1.99,277,0.55,9
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,6,10318,20.53,277,0.55,46
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,5-10 YEARS,6,19909,39.6,277,0.55,85
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,11-50 YEARS,6,17190,34.2,277,0.55,130
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OVER 50 YEARS,6,1852,3.68,277,0.55,7
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,7,1001,1.99,323,0.64,17
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,7,10318,20.53,323,0.64,64
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,5-10 YEARS,7,19909,39.6,323,0.64,99
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,11-50 YEARS,7,17190,34.2,323,0.64,134
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OVER 50 YEARS,7,1852,3.68,323,0.64,9
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,8,1001,1.99,111,0.22,5
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,8,10318,20.53,111,0.22,36
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,5-10 YEARS,8,19909,39.6,111,0.22,44
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,11-50 YEARS,8,17190,34.2,111,0.22,23
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OVER 50 YEARS,8,1852,3.68,111,0.22,3
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,9 AND MORE,1001,1.99,106,0.21,2
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,9 AND MORE,10318,20.53,106,0.21,14
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,5-10 YEARS,9 AND MORE,19909,39.6,106,0.21,44
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,11-50 YEARS,9 AND MORE,17190,34.2,106,0.21,44
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OVER 50 YEARS,9 AND MORE,1852,3.68,106,0.21,2
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,UNDER CONSTRUCTION,1,592,1.82,22837,70.1,300
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,LESS THAN 5 YEARS,1,7449,22.87,22837,70.1,5279
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,5-10 YEARS,1,11640,35.73,22837,70.1,8406
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,11-50 YEARS,1,11242,34.51,22837,70.1,7525
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OVER 50 YEARS,1,1654,5.08,22837,70.1,1327
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,UNDER CONSTRUCTION,2,592,1.82,6200,19.03,174
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,LESS THAN 5 YEARS,2,7449,22.87,6200,19.03,1333
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,5-10 YEARS,2,11640,35.73,6200,19.03,2177
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,11-50 YEARS,2,11242,34.51,6200,19.03,2318
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OVER 50 YEARS,2,1654,5.08,6200,19.03,198
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,UNDER CONSTRUCTION,3,592,1.82,2183,6.7,74
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,LESS THAN 5 YEARS,3,7449,22.87,2183,6.7,510
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,5-10 YEARS,3,11640,35.73,2183,6.7,632
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,11-50 YEARS,3,11242,34.51,2183,6.7,894
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OVER 50 YEARS,3,1654,5.08,2183,6.7,73
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,UNDER CONSTRUCTION,4,592,1.82,725,2.23,22
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,LESS THAN 5 YEARS,4,7449,22.87,725,2.23,185
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,5-10 YEARS,4,11640,35.73,725,2.23,225
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,11-50 YEARS,4,11242,34.51,725,2.23,261
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OVER 50 YEARS,4,1654,5.08,725,2.23,32
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,UNDER CONSTRUCTION,5,592,1.82,235,0.72,11
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,LESS THAN 5 YEARS,5,7449,22.87,235,0.72,53
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,5-10 YEARS,5,11640,35.73,235,0.72,69
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,11-50 YEARS,5,11242,34.51,235,0.72,90
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OVER 50 YEARS,5,1654,5.08,235,0.72,12
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,UNDER CONSTRUCTION,6,592,1.82,108,0.33,4
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,LESS THAN 5 YEARS,6,7449,22.87,108,0.33,25
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,5-10 YEARS,6,11640,35.73,108,0.33,36
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,11-50 YEARS,6,11242,34.51,108,0.33,42
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OVER 50 YEARS,6,1654,5.08,108,0.33,1
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,UNDER CONSTRUCTION,7,592,1.82,156,0.48,2
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,LESS THAN 5 YEARS,7,7449,22.87,156,0.48,25
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,5-10 YEARS,7,11640,35.73,156,0.48,44
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,11-50 YEARS,7,11242,34.51,156,0.48,79
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OVER 50 YEARS,7,1654,5.08,156,0.48,6
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,UNDER CONSTRUCTION,8,592,1.82,70,0.21,4
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,LESS THAN 5 YEARS,8,7449,22.87,70,0.21,30
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,5-10 YEARS,8,11640,35.73,70,0.21,26
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,11-50 YEARS,8,11242,34.51,70,0.21,7
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OVER 50 YEARS,8,1654,5.08,70,0.21,3
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,UNDER CONSTRUCTION,9 AND MORE,592,1.82,63,0.19,1
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,LESS THAN 5 YEARS,9 AND MORE,7449,22.87,63,0.19,9
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,5-10 YEARS,9 AND MORE,11640,35.73,63,0.19,25
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,11-50 YEARS,9 AND MORE,11242,34.51,63,0.19,26
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OVER 50 YEARS,9 AND MORE,1654,5.08,63,0.19,2
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,UNDER CONSTRUCTION,1,409,2.31,8269,46.74,142
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,LESS THAN 5 YEARS,1,2869,16.22,8269,46.74,1213
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,5-10 YEARS,1,8269,46.74,8269,46.74,4167
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,11-50 YEARS,1,5948,33.62,8269,46.74,2645
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,OVER 50 YEARS,1,198,1.12,8269,46.74,102
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,UNDER CONSTRUCTION,2,409,2.31,5305,29.98,154
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,LESS THAN 5 YEARS,2,2869,16.22,5305,29.98,972
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,5-10 YEARS,2,8269,46.74,5305,29.98,2350
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,11-50 YEARS,2,5948,33.62,5305,29.98,1776
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,OVER 50 YEARS,2,198,1.12,5305,29.98,53
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,UNDER CONSTRUCTION,3,409,2.31,2273,12.85,68
