province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,KITCHEN,SEPARATE,17715,22.88,14326
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,KITCHEN,SHARED,17663,22.81,13933
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,KITCHEN,NONE,42056,54.31,22011
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,BATH,SEPARATE,19514,25.2,15556
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,BATH,SHARED,21332,27.55,16810
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,BATH,NONE,36588,47.25,17904
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,LATRINE,SEWER,6820,8.81,5265
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,LATRINE,SEPTIC TANK,5324,6.88,4008
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,LATRINE,OPEN DRAIN,11264,14.55,7612
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,LATRINE,PIT WITH SLAB,16428,21.22,13010
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,LATRINE,OTHER,15098,19.5,9048
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,OWNED,50270,64.92,LATRINE,NONE,22500,29.06,11327
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,KITCHEN,SEPARATE,17715,22.88,1065
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,KITCHEN,SHARED,17663,22.81,1313
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,KITCHEN,NONE,42056,54.31,1549
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,BATH,SEPARATE,19514,25.2,1321
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,BATH,SHARED,21332,27.55,1860
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,BATH,NONE,36588,47.25,746
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,LATRINE,SEWER,6820,8.81,1228
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,LATRINE,SEPTIC TANK,5324,6.88,427
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,LATRINE,OPEN DRAIN,11264,14.55,941
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,LATRINE,PIT WITH SLAB,16428,21.22,913
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,LATRINE,OTHER,15098,19.5,223
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENTED,3927,5.07,LATRINE,NONE,22500,29.06,195
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENT FREE,23237,30.01,KITCHEN,SEPARATE,17715,22.88,2324
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENT FREE,23237,30.01,KITCHEN,SHARED,17663,22.81,2417
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENT FREE,23237,30.01,KITCHEN,NONE,42056,54.31,18496
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENT FREE,23237,30.01,BATH,SEPARATE,19514,25.2,2637
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENT FREE,23237,30.01,BATH,SHARED,21332,27.55,2662
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENT FREE,23237,30.01,BATH,NONE,36588,47.25,17938
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENT FREE,23237,30.01,LATRINE,SEWER,6820,8.81,327
