province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,91454,23.46,ILLITERATE,70001
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,10 - 14,18366,34.29,ILLITERATE,12068
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,15 - 19,13137,30.09,ILLITERATE,9184
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,20 - 24,9657,25.91,ILLITERATE,7155
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,25 - 29,10027,22.41,ILLITERATE,7780
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,30 - 34,8627,21.49,ILLITERATE,6773
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,35 - 39,7900,19.89,ILLITERATE,6329
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,40 - 44,5907,16.71,ILLITERATE,4920
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,45 - 49,4806,14,ILLITERATE,4133
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,50 - 54,3818,13.2,ILLITERATE,3314
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,55 - 59,2898,12.7,ILLITERATE,2530
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,60 - 64,2404,8.32,ILLITERATE,2204
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,65 - 69,1642,9.07,ILLITERATE,1493
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,70 - 74,1072,6.16,ILLITERATE,1006
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,1193,6.79,ILLITERATE,1112
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,91454,23.46,TOTAL LITERATE,21453
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,10 - 14,18366,34.29,TOTAL LITERATE,6298
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,15 - 19,13137,30.09,TOTAL LITERATE,3953
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,20 - 24,9657,25.91,TOTAL LITERATE,2502
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,25 - 29,10027,22.41,TOTAL LITERATE,2247
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,30 - 34,8627,21.49,TOTAL LITERATE,1854
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,35 - 39,7900,19.89,TOTAL LITERATE,1571
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,40 - 44,5907,16.71,TOTAL LITERATE,987
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,45 - 49,4806,14,TOTAL LITERATE,673
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,50 - 54,3818,13.2,TOTAL LITERATE,504
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,55 - 59,2898,12.7,TOTAL LITERATE,368
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,60 - 64,2404,8.32,TOTAL LITERATE,200
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,65 - 69,1642,9.07,TOTAL LITERATE,149
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,70 - 74,1072,6.16,TOTAL LITERATE,66
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,1193,6.79,TOTAL LITERATE,81
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,91454,23.46,FORMAL LITERATE,20681
BALOCHISTAN,115,JHAL MAGSI DISTRICT,JHAL MAGSI DISTRICT,TOTAL,ALL SEXES,10 - 14,18366,34.29,FORMAL LITERATE,6170
