province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
BALOCHISTAN,115,JHAL MAGSI DISTRICT,NA,NA,NA,YES,JHAL MAGSI DISTRICT,NA,23618,641,1797,21180,4567,15749,66,10112,8752,8718,5.94
BALOCHISTAN,115,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,NA,NA,YES,GANDAWA TEHSIL,NA,7115,175,1004,5936,1308,4925,18,3354,3417,3837,6.05
BALOCHISTAN,115,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,SADDAR QH,NA,YES,SADDAR QH,NA,7115,175,1004,5936,1308,4925,18,3354,3417,3837,6.05
BALOCHISTAN,115,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,SADDAR QH,GADA GHARRA PC,YES,GADA GHARRA PC,NA,684,2,17,665,0,12,1,195,190,118,6.21
BALOCHISTAN,115,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,SADDAR QH,GADA GHARRA PC,NO,GHOUS ABAD,0000042,99,0,1,98,0,0,0,3,0,6,4.94
BALOCHISTAN,115,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,SADDAR QH,GADA GHARRA PC,NO,HASHIM BUDH,0000046,133,2,11,120,0,1,0,133,132,51,6.24
BALOCHISTAN,115,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,SADDAR QH,GADA GHARRA PC,NO,HASHIM KHOKHAR,0000043,51,0,1,50,0,0,0,51,51,41,6.49
BALOCHISTAN,115,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,SADDAR QH,GADA GHARRA PC,NO,JAGIRANI,0000044,28,0,0,28,0,0,0,0,0,1,8.29
BALOCHISTAN,115,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,SADDAR QH,GADA GHARRA PC,NO,KALAI ABAD,0000041,11,0,0,11,0,0,0,0,0,0,6.27
BALOCHISTAN,115,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,SADDAR QH,GADA GHARRA PC,NO,SOHRAB GOLA,0000047,32,0,1,31,0,10,0,5,6,2,7.25
BALOCHISTAN,115,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,SADDAR QH,GADA GHARRA PC,NO,YARU GOLA,0000045,12,0,0,12,0,0,0,3,0,0,5.67
