province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
BALOCHISTAN,116,KACHHI DISTRICT,NA,NA,NA,YES,KACHHI DISTRICT,NA,34245,818,2480,30947,6575,26250,2602,26499,26864,21303,7.49
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,NA,NA,YES,BALANARI SUB-TEHSIL,NA,7002,104,896,6002,1470,6294,21,5971,6151,5023,6.13
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,NA,YES,MITHRI QH,NA,3587,73,742,2772,1380,3163,14,3082,3115,2336,5.94
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,(DOSA JAN MOHD)DOSA PC,YES,(DOSA JAN MOHD)DOSA PC,NA,477,5,104,368,47,402,4,401,383,449,5.39
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,(DOSA JAN MOHD)DOSA PC,NO,AHMEDAN,0000063,68,1,1,66,6,61,0,60,60,61,5.22
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,(DOSA JAN MOHD)DOSA PC,NO,DOSA,0000066,103,1,97,5,1,103,0,102,103,103,5.37
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,(DOSA JAN MOHD)DOSA PC,NO,GAHWAR GHARI,0000065,24,0,0,24,0,24,0,24,24,24,5.21
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,(DOSA JAN MOHD)DOSA PC,NO,HARIN,0000067,2,0,0,2,0,2,0,0,1,2,6
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,(DOSA JAN MOHD)DOSA PC,NO,JAHANA,0000069,27,0,0,27,4,0,2,27,27,26,6.41
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,(DOSA JAN MOHD)DOSA PC,NO,LONG KHAN,0000064,39,0,3,36,20,31,0,31,31,29,4.97
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,(DOSA JAN MOHD)DOSA PC,NO,MAL SURYANI,0000068,178,0,3,175,13,178,1,121,102,168,5.6
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,(DOSA JAN MOHD)DOSA PC,NO,MUCHH,0000070,36,3,0,33,3,3,1,36,35,36,4.53
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,AERI PC,YES,AERI PC,NA,928,1,26,901,80,868,3,587,600,335,6.07
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,AERI PC,NO,(GOLA) GOOR,0000018,157,0,0,157,2,157,0,156,154,156,8.26
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,AERI PC,NO,AERI,0000011,422,1,15,406,64,396,0,151,171,68,5.31
BALOCHISTAN,116,KACHHI DISTRICT,BALANARI SUB-TEHSIL,MITHRI QH,AERI PC,NO,BUSKH MEHRANI,0000010,40,0,0,40,6,40,0,24,22,0,5.95
