province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
BALOCHISTAN,117,NASIRABAD DISTRICT,NA,NA,NA,YES,NASIRABAD DISTRICT,NA,51688,3417,6984,41287,20182,38444,701,23577,25114,19183,7.28
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,NA,NA,YES,BABA KOT TEHSIL,NA,6985,277,964,5744,2070,4023,178,2693,2945,2131,6.69
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,NA,YES,BABA KOT QH,NA,6985,277,964,5744,2070,4023,178,2693,2945,2131,6.69
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,GHARI REHMAN PC,YES,GHARI REHMAN PC,NA,2425,112,586,1727,1378,1634,91,1125,1277,924,7.44
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,GHARI REHMAN PC,NO,ALI KHAN UNDROON,0000059,254,3,234,17,53,234,3,78,151,75,7.08
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,GHARI REHMAN PC,NO,ALODA ANDROON,0000017,176,1,11,164,3,103,2,3,7,11,6.6
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,GHARI REHMAN PC,NO,AMAMU CHANDIA UNDROON,0000045,145,4,16,125,100,70,0,29,68,29,5.63
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,GHARI REHMAN PC,NO,GHARI REHMAN ANDROON,0000024,284,3,16,265,29,11,1,6,19,20,9.77
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,GHARI REHMAN PC,NO,KOHNA TAMBOO ANDROON(INTERNAL),0000044,419,90,56,273,384,338,83,209,236,151,6.13
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,GHARI REHMAN PC,NO,MEHRAB WAH ANDROON,0000023,179,0,11,168,10,82,0,56,55,8,6.41
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,GHARI REHMAN PC,NO,SARANG WAH DINGRI ANDROON,0000043,805,9,226,570,788,790,2,743,736,627,8.34
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,GHARI REHMAN PC,NO,SOBHANI ANDROON,0000018,163,2,16,145,11,6,0,1,5,3,6.59
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,YES,LASHARI PC,NA,809,0,23,786,35,355,6,131,93,77,6.78
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,ALI KHAN BEROON,0000046,57,0,0,57,0,57,0,0,2,3,6.81
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,BAKHSHOO KOHNA BEROON,0000007,3,0,0,3,0,0,0,0,0,0,7.33
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,BAKHSHOO NEW BEROON,0000007,216,0,1,215,1,0,5,7,2,35,4.65
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,BASTI QAIM SHAH BEROON,0000065,19,0,0,19,0,0,0,0,2,1,7.05
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,EASAN BEROON,0000070,0,0,0,0,0,0,0,0,0,0,0
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,IMAMO CHANDIA BEROON,0000060,64,0,0,64,0,64,0,0,0,0,6.39
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,KANDA BEROON,0000062,171,0,5,166,4,160,0,4,4,9,7.31
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,KHUSHAL BEROON,0000068,99,0,1,98,17,6,0,12,43,1,7.88
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,LASHARI BEROON(EXTERNAL),0000061,61,0,7,54,1,40,1,50,6,7,9.97
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,MANIK MUKHI BEROON,0000066,6,0,1,5,0,3,0,3,3,6,10
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,MONIK BEROON,0000069,3,0,0,3,0,0,0,0,0,0,5.67
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,SHAHWANI BEROON,0000058,77,0,7,70,10,25,0,55,31,6,8
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,THARO ANDROON,0000067,15,0,1,14,2,0,0,0,0,0,5.8
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,LASHARI PC,NO,WAJA BEROON,0000071,18,0,0,18,0,0,0,0,0,9,6.06
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,QABOLA PC,YES,QABOLA PC,NA,3183,160,328,2695,632,1848,81,1381,1520,1112,5.97
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,QABOLA PC,NO,GAGAN ANDROON,0000020,76,0,4,72,1,1,0,6,3,1,4.91
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,QABOLA PC,NO,KHATOOR BEROON,0000025,163,0,1,162,27,135,0,29,30,0,6.09
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,QABOLA PC,NO,KOT PALYANI ANDROON,0000022,881,116,134,631,207,435,8,236,398,274,5.74
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,QABOLA PC,NO,LUNDA ANDROON,0000027,200,2,15,183,50,168,0,80,64,43,6.68
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,QABOLA PC,NO,MASHKOOL ANDROON,0000019,156,6,16,134,42,61,0,37,39,41,6.03
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,QABOLA PC,NO,MOULVI ANDROON,0000021,405,0,15,390,1,53,0,236,230,82,5.93
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,QABOLA PC,NO,NOROO ANDROON,0000026,366,0,114,252,159,209,2,188,189,176,5.44
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,QABOLA PC,NO,QABULA ANDROON,0000029,611,34,4,573,66,519,71,412,422,353,6.3
BALOCHISTAN,117,NASIRABAD DISTRICT,BABA KOT TEHSIL,BABA KOT QH,QABOLA PC,NO,SATHIANI ANDROON,0000028,242,2,22,218,79,184,0,82,69,65,6.16
