province_name,district_code,district_name,area_name,area_type,gender,work_activity,age_group,count
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,10 AND ABOVE,548
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,10 - 14,94
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,15 - 19,104
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,20 - 24,65
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,25 - 29,48
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,30 - 34,31
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,35 - 39,46
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,40 - 44,34
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,45 - 49,23
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,50 - 54,27
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,55 - 59,14
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,60 - 64,14
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,65 - 69,17
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,70 - 74,11
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,75 AND ABOVE,20
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,WORKING,10 AND ABOVE,114
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,WORKING,10 - 14,10
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,WORKING,15 - 19,8
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,WORKING,20 - 24,11
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,WORKING,25 - 29,15
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,WORKING,30 - 34,9
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,WORKING,35 - 39,15
BALOCHISTAN,118,SOHBATPUR DISTRICT,SOHBATPUR DISTRICT,TOTAL,ALL SEXES,WORKING,40 - 44,12
