province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,ALL SEXES,178947,4495,29647,58478,85972,87028,34753,49353,81546,92156,78324,85490,7696,4869
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,MALE,92571,2344,15233,30220,44485,45244,18006,25230,41848,47526,40407,44167,4015,2574
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,FEMALE,86373,2151,14414,28258,41487,41782,16745,24121,39695,44627,37914,41320,3681,2295
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,TOTAL,TRANSGENDER,3,0,0,0,0,2,2,2,3,3,3,3,0,0
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,RURAL,ALL SEXES,132551,3366,22561,44229,64495,64306,25341,35872,59406,67323,57233,62701,5856,3702
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,RURAL,MALE,68290,1732,11535,22821,33325,33408,13073,18240,30242,34453,29317,32192,3067,1967
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,RURAL,FEMALE,64258,1634,11026,21408,31170,30896,12266,17630,29161,32867,27913,30506,2789,1735
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,RURAL,TRANSGENDER,3,0,0,0,0,2,2,2,3,3,3,3,0,0
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,URBAN,ALL SEXES,46396,1129,7086,14249,21477,22722,9412,13481,22140,24833,21091,22789,1840,1167
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,URBAN,MALE,24281,612,3698,7399,11160,11836,4933,6990,11606,13073,11090,11975,948,607
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,URBAN,FEMALE,22115,517,3388,6850,10317,10886,4479,6491,10534,11760,10001,10814,892,560
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI DISTRICT,URBAN,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,TOTAL,ALL SEXES,178947,4495,29647,58478,85972,87028,34753,49353,81546,92156,78324,85490,7696,4869
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,TOTAL,MALE,92571,2344,15233,30220,44485,45244,18006,25230,41848,47526,40407,44167,4015,2574
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,TOTAL,FEMALE,86373,2151,14414,28258,41487,41782,16745,24121,39695,44627,37914,41320,3681,2295
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,TOTAL,TRANSGENDER,3,0,0,0,0,2,2,2,3,3,3,3,0,0
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,RURAL,ALL SEXES,132551,3366,22561,44229,64495,64306,25341,35872,59406,67323,57233,62701,5856,3702
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,RURAL,MALE,68290,1732,11535,22821,33325,33408,13073,18240,30242,34453,29317,32192,3067,1967
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,RURAL,FEMALE,64258,1634,11026,21408,31170,30896,12266,17630,29161,32867,27913,30506,2789,1735
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,RURAL,TRANSGENDER,3,0,0,0,0,2,2,2,3,3,3,3,0,0
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,URBAN,ALL SEXES,46396,1129,7086,14249,21477,22722,9412,13481,22140,24833,21091,22789,1840,1167
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,URBAN,MALE,24281,612,3698,7399,11160,11836,4933,6990,11606,13073,11090,11975,948,607
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,URBAN,FEMALE,22115,517,3388,6850,10317,10886,4479,6491,10534,11760,10001,10814,892,560
BALOCHISTAN,121,NUSHKI DISTRICT,NUSHKI TEHSIL,URBAN,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
