province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,UNDER CONSTRUCTION,1,4722,2.65,21363,11.97,574
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,LESS THAN 5 YEARS,1,19534,10.94,21363,11.97,1896
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,5-10 YEARS,1,43174,24.19,21363,11.97,4337
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,11-50 YEARS,1,101195,56.69,21363,11.97,13451
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,OVER 50 YEARS,1,9871,5.53,21363,11.97,1105
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,UNDER CONSTRUCTION,2,4722,2.65,41437,23.21,1061
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,LESS THAN 5 YEARS,2,19534,10.94,41437,23.21,4522
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,5-10 YEARS,2,43174,24.19,41437,23.21,10124
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,11-50 YEARS,2,101195,56.69,41437,23.21,23433
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,OVER 50 YEARS,2,9871,5.53,41437,23.21,2297
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,UNDER CONSTRUCTION,3,4722,2.65,37923,21.25,978
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,LESS THAN 5 YEARS,3,19534,10.94,37923,21.25,4532
BALOCHISTAN,123,QUETTA DISTRICT,QUETTA DISTRICT,TOTAL,5-10 YEARS,3,43174,24.19,37923,21.25,9974
