province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,284,0.7,BAKED BRICKS/BLOCKS/STONES,207,0.51,54
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,284,0.7,UNBAKED BRICKS/MUD,371,0.91,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,284,0.7,WOOD/BAMBOO,581,1.42,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,284,0.7,OTHERS,299,0.73,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,284,0.7,BAKED BRICKS/BLOCKS/STONES,1666,4.08,40
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,284,0.7,UNBAKED BRICKS/MUD,4804,11.76,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,284,0.7,WOOD/BAMBOO,2962,7.25,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,284,0.7,OTHERS,770,1.89,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,284,0.7,BAKED BRICKS/BLOCKS/STONES,3237,7.93,74
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,284,0.7,UNBAKED BRICKS/MUD,5490,13.44,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,284,0.7,WOOD/BAMBOO,3907,9.57,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,284,0.7,OTHERS,1267,3.1,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,284,0.7,BAKED BRICKS/BLOCKS/STONES,2190,5.36,106
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,284,0.7,UNBAKED BRICKS/MUD,7118,17.43,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,284,0.7,WOOD/BAMBOO,2994,7.33,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,284,0.7,OTHERS,1041,2.55,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,284,0.7,BAKED BRICKS/BLOCKS/STONES,83,0.2,10
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,284,0.7,UNBAKED BRICKS/MUD,529,1.3,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,284,0.7,WOOD/BAMBOO,392,0.96,0
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,284,0.7,OTHERS,936,2.29,0
