province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,1 PERSON,1,417,2.45,1.57,6098,35.88,4.28,289
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,2 PERSONS,1,2505,14.74,1.75,6098,35.88,4.28,1545
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,3 PERSONS,1,1986,11.69,1.92,6098,35.88,4.28,991
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,4 PERSONS,1,2119,12.47,2.12,6098,35.88,4.28,872
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,5 PERSONS,1,2104,12.38,2.24,6098,35.88,4.28,718
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,6 PERSONS,1,2013,11.85,2.39,6098,35.88,4.28,584
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,7 PERSONS,1,1747,10.28,2.54,6098,35.88,4.28,417
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,8 PERSONS,1,1347,7.93,2.63,6098,35.88,4.28,280
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,9 PERSONS,1,1001,5.89,2.82,6098,35.88,4.28,171
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,1755,10.33,3.32,6098,35.88,4.28,231
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,1 PERSON,2,417,2.45,1.57,5144,30.27,5.68,61
BALOCHISTAN,125,HARNAI DISTRICT,HARNAI DISTRICT,TOTAL,2 PERSONS,2,2505,14.74,1.75,5144,30.27,5.68,561
