province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
BALOCHISTAN,126,KOHLU DISTRICT,NA,NA,NA,YES,KOHLU DISTRICT,NA,23852,469,1734,21649,4086,6330,200,13995,13108,4875,7.99
BALOCHISTAN,126,KOHLU DISTRICT,GRISANI SUB-TEHSIL,NA,NA,YES,GRISANI SUB-TEHSIL,NA,2149,8,76,2065,209,343,11,1208,1277,47,7.72
BALOCHISTAN,126,KOHLU DISTRICT,GRISANI SUB-TEHSIL,GRISANI QH,NA,YES,GRISANI QH,NA,2149,8,76,2065,209,343,11,1208,1277,47,7.72
BALOCHISTAN,126,KOHLU DISTRICT,GRISANI SUB-TEHSIL,GRISANI QH,GRISANI PC,YES,GRISANI PC,NA,2149,8,76,2065,209,343,11,1208,1277,47,7.72
BALOCHISTAN,126,KOHLU DISTRICT,GRISANI SUB-TEHSIL,GRISANI QH,GRISANI PC,NO,BALADHAKA,0000011,379,0,29,350,8,6,1,39,103,8,8.53
BALOCHISTAN,126,KOHLU DISTRICT,GRISANI SUB-TEHSIL,GRISANI QH,GRISANI PC,NO,BHANI WALAH,0000012,650,2,13,635,11,2,5,58,59,12,8.18
BALOCHISTAN,126,KOHLU DISTRICT,GRISANI SUB-TEHSIL,GRISANI QH,GRISANI PC,NO,CHASHMA MAND,0000010,30,0,0,30,6,0,0,30,30,0,7.2
BALOCHISTAN,126,KOHLU DISTRICT,GRISANI SUB-TEHSIL,GRISANI QH,GRISANI PC,NO,GRISANI,0000009,1090,6,34,1050,184,335,5,1081,1085,27,7.19
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,NA,NA,YES,KAHAN TEHSIL,NA,6324,38,556,5730,661,277,112,1848,1823,1330,11.06
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,NA,YES,JANATALI QH,NA,828,2,20,806,27,7,3,163,191,160,11.58
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,JANATALI PC,YES,JANATALI PC,NA,229,0,3,226,3,3,1,102,123,30,13.08
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,JANATALI PC,NO,DALEHAN,0000110,34,0,0,34,0,0,0,0,0,0,15.82
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,JANATALI PC,NO,HANGRI,0000111,56,0,0,56,0,0,1,0,0,2,10.46
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,JANATALI PC,NO,LULAR,0000108,30,0,0,30,0,0,0,30,28,3,12.57
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,JANATALI PC,NO,MARADU,0000106,35,0,0,35,1,0,0,22,35,1,13.4
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,JANATALI PC,NO,MOCHI,0000107,30,0,0,30,0,1,0,30,30,18,15.37
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,JANATALI PC,NO,PIRANO,0000109,44,0,3,41,2,2,0,20,30,6,12.84
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,THANGWANI PC,YES,THANGWANI PC,NA,231,1,5,225,20,2,2,42,49,7,10.37
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,THANGWANI PC,NO,KIRARHI,0000113,39,0,0,39,1,0,0,39,37,3,12.82
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,THANGWANI PC,NO,MIRAN KACH,0000112,34,0,1,33,1,0,0,1,0,1,11.94
BALOCHISTAN,126,KOHLU DISTRICT,KAHAN TEHSIL,JANATALI QH,THANGWANI PC,NO,SEHRA BASHKO,0000116,93,1,2,90,10,1,2,1,6,3,7.18
