province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,407,1.95,BAKED BRICKS/BLOCKS/STONES,128,0.61,23
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,407,1.95,UNBAKED BRICKS/MUD,116,0.56,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,407,1.95,WOOD/BAMBOO,20,0.1,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,407,1.95,OTHERS,10,0.05,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,407,1.95,BAKED BRICKS/BLOCKS/STONES,460,2.21,57
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,407,1.95,UNBAKED BRICKS/MUD,1215,5.83,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,407,1.95,WOOD/BAMBOO,230,1.1,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,407,1.95,OTHERS,53,0.25,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,407,1.95,BAKED BRICKS/BLOCKS/STONES,1229,5.9,103
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,407,1.95,UNBAKED BRICKS/MUD,3788,18.19,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,407,1.95,WOOD/BAMBOO,600,2.88,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,407,1.95,OTHERS,443,2.13,0
BALOCHISTAN,127,SIBI DISTRICT,SIBI DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,407,1.95,BAKED BRICKS/BLOCKS/STONES,2275,10.93,168
