province_name,district_code,district_name,area_name,area_type,information_source,count
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,23621
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,TOTAL,RADIO,6606
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,TOTAL,TV,3425
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,TOTAL,NEWSPAPER,2973
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,TOTAL,MOBILE,534
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,TOTAL,COMPUTER/INTERNET,21895
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,22967
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,RURAL,RADIO,6385
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,RURAL,TV,3064
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,RURAL,NEWSPAPER,2779
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,RURAL,MOBILE,511
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,RURAL,COMPUTER/INTERNET,21265
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,654
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,URBAN,RADIO,221
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,URBAN,TV,361
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,URBAN,NEWSPAPER,194
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,URBAN,MOBILE,23
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT DISTRICT,URBAN,COMPUTER/INTERNET,630
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,13112
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,TOTAL,RADIO,2742
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,TOTAL,TV,1804
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,TOTAL,NEWSPAPER,981
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,TOTAL,MOBILE,246
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,TOTAL,COMPUTER/INTERNET,12908
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,13112
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,RURAL,RADIO,2742
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,RURAL,TV,1804
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,RURAL,NEWSPAPER,981
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,RURAL,MOBILE,246
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,RURAL,COMPUTER/INTERNET,12908
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,0
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,URBAN,RADIO,0
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,URBAN,TV,0
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,URBAN,NEWSPAPER,0
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,URBAN,MOBILE,0
BALOCHISTAN,128,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,URBAN,COMPUTER/INTERNET,0
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,10509
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,TOTAL,RADIO,3864
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,TOTAL,TV,1621
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,TOTAL,NEWSPAPER,1992
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,TOTAL,MOBILE,288
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,TOTAL,COMPUTER/INTERNET,8987
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,9855
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,RURAL,RADIO,3643
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,RURAL,TV,1260
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,RURAL,NEWSPAPER,1798
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,RURAL,MOBILE,265
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,RURAL,COMPUTER/INTERNET,8357
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,654
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,URBAN,RADIO,221
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,URBAN,TV,361
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,URBAN,NEWSPAPER,194
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,URBAN,MOBILE,23
BALOCHISTAN,128,ZIARAT DISTRICT,ZIARAT TEHSIL,URBAN,COMPUTER/INTERNET,630
