province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,106204,26.99,ILLITERATE,77543
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,10 - 14,20300,39.12,ILLITERATE,12359
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,15 - 19,13583,36.09,ILLITERATE,8681
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,20 - 24,11414,31.56,ILLITERATE,7812
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,25 - 29,12419,27.47,ILLITERATE,9008
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,30 - 34,10330,25.07,ILLITERATE,7740
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,35 - 39,9075,24.84,ILLITERATE,6821
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,40 - 44,6561,20.01,ILLITERATE,5248
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,45 - 49,5869,15.44,ILLITERATE,4963
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,50 - 54,4341,13.94,ILLITERATE,3736
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,55 - 59,3511,12.28,ILLITERATE,3080
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,60 - 64,3046,9.46,ILLITERATE,2758
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,65 - 69,2240,8.35,ILLITERATE,2053
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,ALL SEXES,70 - 74,1489,6.31,ILLITERATE,1395
