province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OWNED,23566,92.51,WALL,BAKED BRICKS/BLOCKS/STONES,4912,19.28,4629
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OWNED,23566,92.51,WALL,UNBAKED BRICKS/MUD,15280,59.98,14304
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OWNED,23566,92.51,WALL,WOOD/BAMBOO,4130,16.21,3604
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OWNED,23566,92.51,WALL,OTHERS,1153,4.53,1029
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OWNED,23566,92.51,ROOF,RCC/RBC,273,1.07,235
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OWNED,23566,92.51,ROOF,CEMENT/IRON SHEETS,627,2.46,591
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OWNED,23566,92.51,ROOF,GARDER/T.IRON,4730,18.57,4534
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OWNED,23566,92.51,ROOF,WOOD/BAMBOO,18627,73.12,17111
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,OWNED,23566,92.51,ROOF,OTHERS,1218,4.78,1095
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENTED,655,2.57,WALL,BAKED BRICKS/BLOCKS/STONES,4912,19.28,111
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENTED,655,2.57,WALL,UNBAKED BRICKS/MUD,15280,59.98,451
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENTED,655,2.57,WALL,WOOD/BAMBOO,4130,16.21,61
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENTED,655,2.57,WALL,OTHERS,1153,4.53,32
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENTED,655,2.57,ROOF,RCC/RBC,273,1.07,17
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENTED,655,2.57,ROOF,CEMENT/IRON SHEETS,627,2.46,18
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENTED,655,2.57,ROOF,GARDER/T.IRON,4730,18.57,121
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENTED,655,2.57,ROOF,WOOD/BAMBOO,18627,73.12,473
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENTED,655,2.57,ROOF,OTHERS,1218,4.78,26
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENT FREE,1254,4.92,WALL,BAKED BRICKS/BLOCKS/STONES,4912,19.28,172
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENT FREE,1254,4.92,WALL,UNBAKED BRICKS/MUD,15280,59.98,525
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,RENT FREE,1254,4.92,WALL,WOOD/BAMBOO,4130,16.21,465
