province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,445,1.89,WALL,BAKED BRICKS/BLOCKS/STONES,4629,19.64,162
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,445,1.89,WALL,UNBAKED BRICKS/MUD,14304,60.7,194
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,445,1.89,WALL,WOOD/BAMBOO,3604,15.29,34
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,445,1.89,WALL,OTHERS,1029,4.37,55
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,445,1.89,ROOF,RCC/RBC,235,1,30
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,445,1.89,ROOF,CEMENT/IRON SHEETS,591,2.51,45
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,445,1.89,ROOF,GARDER/T.IRON,4534,19.24,64
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,445,1.89,ROOF,WOOD/BAMBOO,17111,72.61,245
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,445,1.89,ROOF,OTHERS,1095,4.65,61
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,1521,6.45,WALL,BAKED BRICKS/BLOCKS/STONES,4629,19.64,218
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,1521,6.45,WALL,UNBAKED BRICKS/MUD,14304,60.7,947
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,1521,6.45,WALL,WOOD/BAMBOO,3604,15.29,211
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,1521,6.45,WALL,OTHERS,1029,4.37,145
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,1521,6.45,ROOF,RCC/RBC,235,1,26
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,1521,6.45,ROOF,CEMENT/IRON SHEETS,591,2.51,140
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,1521,6.45,ROOF,GARDER/T.IRON,4534,19.24,218
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,1521,6.45,ROOF,WOOD/BAMBOO,17111,72.61,1079
BALOCHISTAN,129,BARKHAN DISTRICT,BARKHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,1521,6.45,ROOF,OTHERS,1095,4.65,58
