province_name,district_code,district_name,area_name,area_type,gender,count
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,TOTAL,ALL SEXES,43611
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,TOTAL,MALE,42376
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,TOTAL,FEMALE,1235
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,TOTAL,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,RURAL,ALL SEXES,37074
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,RURAL,MALE,36015
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,RURAL,FEMALE,1059
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,RURAL,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,URBAN,ALL SEXES,6537
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,URBAN,MALE,6361
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,URBAN,FEMALE,176
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH DISTRICT,URBAN,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,TOTAL,ALL SEXES,2112
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,TOTAL,MALE,2054
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,TOTAL,FEMALE,58
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,TOTAL,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,RURAL,ALL SEXES,2112
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,RURAL,MALE,2054
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,RURAL,FEMALE,58
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,RURAL,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,URBAN,ALL SEXES,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,URBAN,MALE,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,URBAN,FEMALE,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,URBAN,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,TOTAL,ALL SEXES,5068
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,TOTAL,MALE,4927
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,TOTAL,FEMALE,141
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,TOTAL,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,RURAL,ALL SEXES,5068
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,RURAL,MALE,4927
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,RURAL,FEMALE,141
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,RURAL,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,URBAN,ALL SEXES,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,URBAN,MALE,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,URBAN,FEMALE,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,URBAN,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,TOTAL,ALL SEXES,14348
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,TOTAL,MALE,13981
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,TOTAL,FEMALE,367
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,TOTAL,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,RURAL,ALL SEXES,11126
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,RURAL,MALE,10825
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,RURAL,FEMALE,301
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,RURAL,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,URBAN,ALL SEXES,3222
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,URBAN,MALE,3156
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,URBAN,FEMALE,66
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,URBAN,TRANSGENDER,0
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,LOIBAND TEHSIL,TOTAL,ALL SEXES,4096
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,LOIBAND TEHSIL,TOTAL,MALE,3912
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,LOIBAND TEHSIL,TOTAL,FEMALE,184
BALOCHISTAN,130,KILLA SAIFULLAH DISTRICT,LOIBAND TEHSIL,TOTAL,TRANSGENDER,0
