province_name,district_code,district_name,area_name,area_type,gender,household_head_relationship,age_group,count
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,TOTAL,ALL AGES,397423
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,HEAD,ALL AGES,54175
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,SPOUSE,ALL AGES,51768
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,SON/DAUGHTER,ALL AGES,211269
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,DAUGHTER/SON IN LAW,ALL AGES,6139
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,GRAND SON/GRAND DAUGHTER,ALL AGES,14179
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,FATHER/MOTHER,ALL AGES,5157
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,BROTHER/SISTER,ALL AGES,14026
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,OTHER RELATIVE,ALL AGES,22247
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,NON-RELATIVE,ALL AGES,18463
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,TOTAL,00 - 04,71625
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,HEAD,00 - 04,0
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,SPOUSE,00 - 04,0
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,SON/DAUGHTER,00 - 04,56844
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,DAUGHTER/SON IN LAW,00 - 04,0
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,GRAND SON/GRAND DAUGHTER,00 - 04,7095
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,FATHER/MOTHER,00 - 04,0
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,BROTHER/SISTER,00 - 04,377
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,OTHER RELATIVE,00 - 04,5063
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,NON-RELATIVE,00 - 04,2246
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,TOTAL,05 - 09,72422
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,HEAD,05 - 09,0
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,SPOUSE,05 - 09,0
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,SON/DAUGHTER,05 - 09,59940
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,DAUGHTER/SON IN LAW,05 - 09,0
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,GRAND SON/GRAND DAUGHTER,05 - 09,4473
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,FATHER/MOTHER,05 - 09,0
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,BROTHER/SISTER,05 - 09,1063
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,OTHER RELATIVE,05 - 09,4535
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,NON-RELATIVE,05 - 09,2411
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,TOTAL,10 - 14,49786
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,HEAD,10 - 14,28
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,SPOUSE,10 - 14,0
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,SON/DAUGHTER,10 - 14,41695
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,ALL SEXES,DAUGHTER/SON IN LAW,10 - 14,0
