province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,KITCHEN,SEPARATE,40274,74.55,32263
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,KITCHEN,SHARED,9142,16.92,6949
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,KITCHEN,NONE,4610,8.53,2778
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,BATH,SEPARATE,42698,79.03,34228
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,BATH,SHARED,7235,13.39,5340
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,BATH,NONE,4093,7.58,2422
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,LATRINE,SEWER,6968,12.9,5065
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,LATRINE,SEPTIC TANK,4542,8.41,3601
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,LATRINE,OPEN DRAIN,8647,16.01,6667
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,LATRINE,PIT WITH SLAB,9968,18.45,7498
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,LATRINE,OTHER,7515,13.91,6083
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OWNED,41990,77.72,LATRINE,NONE,16386,30.33,13076
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,KITCHEN,SEPARATE,40274,74.55,3583
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,KITCHEN,SHARED,9142,16.92,1137
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,KITCHEN,NONE,4610,8.53,195
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,BATH,SEPARATE,42698,79.03,3845
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,BATH,SHARED,7235,13.39,895
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,BATH,NONE,4093,7.58,175
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,LATRINE,SEWER,6968,12.9,1347
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,LATRINE,SEPTIC TANK,4542,8.41,536
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,LATRINE,OPEN DRAIN,8647,16.01,910
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,LATRINE,PIT WITH SLAB,9968,18.45,1417
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,LATRINE,OTHER,7515,13.91,426
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENTED,4915,9.1,LATRINE,NONE,16386,30.33,279
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,KITCHEN,SEPARATE,40274,74.55,4428
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,KITCHEN,SHARED,9142,16.92,1056
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,KITCHEN,NONE,4610,8.53,1637
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,BATH,SEPARATE,42698,79.03,4625
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,BATH,SHARED,7235,13.39,1000
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,BATH,NONE,4093,7.58,1496
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,LATRINE,SEWER,6968,12.9,556
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,LATRINE,SEPTIC TANK,4542,8.41,405
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,LATRINE,OPEN DRAIN,8647,16.01,1070
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,LATRINE,PIT WITH SLAB,9968,18.45,1053
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,LATRINE,OTHER,7515,13.91,1006
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,RENT FREE,7121,13.18,LATRINE,NONE,16386,30.33,3031
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,RURAL,OWNED,36893,81.12,KITCHEN,SEPARATE,34093,74.97,28602
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,RURAL,OWNED,36893,81.12,KITCHEN,SHARED,6935,15.25,5550
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,RURAL,OWNED,36893,81.12,KITCHEN,NONE,4450,9.78,2741
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,RURAL,OWNED,36893,81.12,BATH,SEPARATE,35832,78.79,30052
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,RURAL,OWNED,36893,81.12,BATH,SHARED,5641,12.4,4430
