province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,440,1.85,BAKED BRICKS/BLOCKS/STONES,84,0.35,13
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,440,1.85,UNBAKED BRICKS/MUD,97,0.41,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,440,1.85,WOOD/BAMBOO,30,0.13,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,440,1.85,OTHERS,30,0.13,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,440,1.85,BAKED BRICKS/BLOCKS/STONES,404,1.7,23
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,440,1.85,UNBAKED BRICKS/MUD,622,2.62,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,440,1.85,WOOD/BAMBOO,179,0.75,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,440,1.85,OTHERS,34,0.14,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,440,1.85,BAKED BRICKS/BLOCKS/STONES,1738,7.31,50
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,440,1.85,UNBAKED BRICKS/MUD,2491,10.47,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,440,1.85,WOOD/BAMBOO,536,2.25,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,440,1.85,OTHERS,171,0.72,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,440,1.85,BAKED BRICKS/BLOCKS/STONES,6169,25.94,335
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,440,1.85,UNBAKED BRICKS/MUD,4852,20.4,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,440,1.85,WOOD/BAMBOO,1844,7.75,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,440,1.85,OTHERS,1418,5.96,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,440,1.85,BAKED BRICKS/BLOCKS/STONES,1446,6.08,19
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,440,1.85,UNBAKED BRICKS/MUD,905,3.8,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,440,1.85,WOOD/BAMBOO,139,0.58,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,440,1.85,OTHERS,596,2.51,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,316,1.33,BAKED BRICKS/BLOCKS/STONES,84,0.35,5
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,316,1.33,UNBAKED BRICKS/MUD,97,0.41,5
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,316,1.33,WOOD/BAMBOO,30,0.13,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,316,1.33,OTHERS,30,0.13,0
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,316,1.33,BAKED BRICKS/BLOCKS/STONES,404,1.7,3
BALOCHISTAN,132,MUSAKHEL DISTRICT,MUSAKHEL DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,316,1.33,UNBAKED BRICKS/MUD,622,2.62,12
