province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,ALL SEXES,152952,36394,7231,6945,7956,6861,7401,32016,6333,6954,6004,6470,6255,22782,5485,4922,4347,4219,3809,15036,3591,3074,3234,2520,2617,9746,2173,2222,1751,1861,1739,9215,1798,1888,2046,1589,1894,6204,1302,1434,1257,1254,957,5032,968,848,1221,1016,979,3764,899,770,784,658,653,3202,591,539,845,580,647,2557,483,540,522,562,450,1957,332,355,510,331,429,1638,292,318,305,315,408,1453,205,233,351,217,447,883,137,193,160,134,259,1073
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,MALE,84390,21132,4219,4037,4662,3973,4241,18573,3627,4060,3448,3777,3661,13721,3261,2916,2588,2579,2377,8539,2226,1887,1889,1264,1273,4667,1040,1084,824,876,843,4242,861,864,931,725,861,2976,662,665,600,590,459,2292,444,403,538,462,445,1697,419,360,339,283,296,1584,291,263,376,314,340,1346,249,286,268,308,235,984,163,162,235,183,241,760,141,147,146,142,184,759,121,111,161,119,247,491,72,100,83,78,158,627
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,FEMALE,68561,15262,3012,2908,3294,2888,3160,13443,2706,2894,2556,2693,2594,9061,2224,2006,1759,1640,1432,6496,1364,1187,1345,1256,1344,5079,1133,1138,927,985,896,4973,937,1024,1115,864,1033,3228,640,769,657,664,498,2740,524,445,683,554,534,2067,480,410,445,375,357,1618,300,276,469,266,307,1211,234,254,254,254,215,973,169,193,275,148,188,878,151,171,159,173,224,694,84,122,190,98,200,392,65,93,77,56,101,446
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,TRANSGENDER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,ALL SEXES,152952,36394,7231,6945,7956,6861,7401,32016,6333,6954,6004,6470,6255,22782,5485,4922,4347,4219,3809,15036,3591,3074,3234,2520,2617,9746,2173,2222,1751,1861,1739,9215,1798,1888,2046,1589,1894,6204,1302,1434,1257,1254,957,5032,968,848,1221,1016,979,3764,899,770,784,658,653,3202,591,539,845,580,647,2557,483,540,522,562,450,1957,332,355,510,331,429,1638,292,318,305,315,408,1453,205,233,351,217,447,883,137,193,160,134,259,1073
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,MALE,84390,21132,4219,4037,4662,3973,4241,18573,3627,4060,3448,3777,3661,13721,3261,2916,2588,2579,2377,8539,2226,1887,1889,1264,1273,4667,1040,1084,824,876,843,4242,861,864,931,725,861,2976,662,665,600,590,459,2292,444,403,538,462,445,1697,419,360,339,283,296,1584,291,263,376,314,340,1346,249,286,268,308,235,984,163,162,235,183,241,760,141,147,146,142,184,759,121,111,161,119,247,491,72,100,83,78,158,627
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,FEMALE,68561,15262,3012,2908,3294,2888,3160,13443,2706,2894,2556,2693,2594,9061,2224,2006,1759,1640,1432,6496,1364,1187,1345,1256,1344,5079,1133,1138,927,985,896,4973,937,1024,1115,864,1033,3228,640,769,657,664,498,2740,524,445,683,554,534,2067,480,410,445,375,357,1618,300,276,469,266,307,1211,234,254,254,254,215,973,169,193,275,148,188,878,151,171,159,173,224,694,84,122,190,98,200,392,65,93,77,56,101,446
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,TRANSGENDER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,URBAN,ALL SEXES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,URBAN,MALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
