province_name,district_code,district_name,area_name,area_type,total_population,household_size,count
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,TOTAL,20307
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,01,112
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,02,1597
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,03,1640
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,04,2161
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,05,2066
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,06,2134
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,07,2031
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,08,1852
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,09,1506
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,148284,10 AND UP,5208
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,TOTAL,20307
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,01,112
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,02,1597
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,03,1640
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,04,2161
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,05,2066
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,06,2134
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,07,2031
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,08,1852
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,09,1506
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,RURAL,148284,10 AND UP,5208
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,URBAN,NA,NA,NA
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,URBAN,NA,NA,NA
