province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OWNED,1,38477,85.81,7638,17.03,6647
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENTED,1,4757,10.61,7638,17.03,581
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENT FREE,1,1605,3.58,7638,17.03,410
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OWNED,2,38477,85.81,13534,30.18,11685
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENTED,2,4757,10.61,13534,30.18,1269
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENT FREE,2,1605,3.58,13534,30.18,580
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OWNED,3,38477,85.81,10249,22.86,8642
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENTED,3,4757,10.61,10249,22.86,1290
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENT FREE,3,1605,3.58,10249,22.86,317
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OWNED,4,38477,85.81,5744,12.81,4742
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENTED,4,4757,10.61,5744,12.81,856
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENT FREE,4,1605,3.58,5744,12.81,146
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OWNED,5,38477,85.81,2933,6.54,2461
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENTED,5,4757,10.61,2933,6.54,406
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENT FREE,5,1605,3.58,2933,6.54,66
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OWNED,6,38477,85.81,1743,3.89,1532
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENTED,6,4757,10.61,1743,3.89,179
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENT FREE,6,1605,3.58,1743,3.89,32
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OWNED,7,38477,85.81,1024,2.28,921
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENTED,7,4757,10.61,1024,2.28,72
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENT FREE,7,1605,3.58,1024,2.28,31
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OWNED,8,38477,85.81,593,1.32,539
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENTED,8,4757,10.61,593,1.32,46
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENT FREE,8,1605,3.58,593,1.32,8
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OWNED,9,38477,85.81,1381,3.08,1308
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENTED,9,4757,10.61,1381,3.08,58
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,RENT FREE,9,1605,3.58,1381,3.08,15
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,OWNED,1,35007,91.58,6856,17.94,6371
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENTED,1,1993,5.21,6856,17.94,155
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENT FREE,1,1225,3.2,6856,17.94,330
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,OWNED,2,35007,91.58,11651,30.48,10803
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENTED,2,1993,5.21,11651,30.48,432
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENT FREE,2,1225,3.2,11651,30.48,416
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,OWNED,3,35007,91.58,8605,22.51,7770
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENTED,3,1993,5.21,8605,22.51,587
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENT FREE,3,1225,3.2,8605,22.51,248
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,OWNED,4,35007,91.58,4769,12.48,4242
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENTED,4,1993,5.21,4769,12.48,410
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENT FREE,4,1225,3.2,4769,12.48,117
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,OWNED,5,35007,91.58,2386,6.24,2116
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENTED,5,1993,5.21,2386,6.24,218
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENT FREE,5,1225,3.2,2386,6.24,52
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,OWNED,6,35007,91.58,1410,3.69,1298
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENTED,6,1993,5.21,1410,3.69,85
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENT FREE,6,1225,3.2,1410,3.69,27
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,OWNED,7,35007,91.58,845,2.21,786
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENTED,7,1993,5.21,845,2.21,39
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENT FREE,7,1225,3.2,845,2.21,20
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,OWNED,8,35007,91.58,510,1.33,475
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,RURAL,RENTED,8,1993,5.21,510,1.33,28
