province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,,,,YES,ABBOTTABAD DISTRICT,293985,155265,138702,18,85.14,91.26,78.2,66.67,33807,28495,2,48096,29804,2,20319,17408,0,291851,2134,226001,175170,17684,74437,162153
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,,,YES,ABBOTTABAD TEHSIL,245670,130649,115003,18,85.21,91.23,78.26,66.67,27789,23183,2,41070,25015,2,17984,14998,0,243665,2005,189772,147541,14852,63313,136425
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,,YES,ABBOTTABAD CANTONMENT,137762,75814,61947,1,86.24,92.16,78.74,100,15713,12160,0,25360,13379,1,11270,8953,0,136416,1346,107688,83787,7756,37713,77409
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,YES,CHARGE NO 01,137762,75814,61947,1,86.24,92.16,78.74,100,15713,12160,0,25360,13379,1,11270,8953,0,136416,1346,107688,83787,7756,37713,77409
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 01,11881,7116,4765,0,90.72,94.22,85.06,0,1366,1144,0,3138,1138,0,949,682,0,11499,382,9711,7849,610,4838,7536
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 02,15378,8135,7243,0,87.52,93.63,80.53,0,2065,1427,0,2134,1559,0,1431,1171,0,15290,88,11994,8746,998,3497,8100
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 03,14314,7673,6641,0,87.91,92.79,82.14,0,1603,1199,0,2612,1957,0,1197,892,0,14286,28,11422,8917,732,3918,8155
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 04,9420,5789,3631,0,92.24,96.91,84.34,0,820,645,0,2636,909,0,1125,748,0,9400,20,7838,6415,496,1939,5955
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 05,15014,7858,7156,0,88.2,92.85,83.11,0,1625,1348,0,2094,1645,0,1744,1465,0,14859,155,11869,9184,1019,3583,8637
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 06,14282,7776,6505,1,89.78,93.76,84.9,100,1785,1370,0,2505,1441,1,1129,979,0,14223,59,11353,8856,1030,3841,8248
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 07,8535,6229,2306,0,96,98.43,87.77,0,808,505,0,3891,422,0,554,380,0,8506,29,7096,6373,144,5110,6286
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 08,9098,4674,4424,0,81.77,89.93,73.05,0,1231,949,0,1239,852,0,389,355,0,9004,94,6735,5155,550,2379,4665
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 09,26512,13596,12916,0,76.17,84.68,67.35,0,3056,2326,0,3116,2147,0,1639,1421,0,26411,101,19613,14702,1508,5965,12634
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 10,13328,6968,6360,0,83.26,89.3,76.59,0,1354,1247,0,1995,1309,0,1113,860,0,12938,390,10057,7590,669,2643,7193
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD MC,,YES,ABBOTTABAD MC,70227,35832,34378,17,84.67,90.73,78.41,64.71,8255,7478,2,10305,7479,1,4142,3753,0,69613,614,53455,41351,4432,17163,37890
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD MC,CHARGE NO 06,YES,CHARGE NO 06,70227,35832,34378,17,84.67,90.73,78.41,64.71,8255,7478,2,10305,7479,1,4142,3753,0,69613,614,53455,41351,4432,17163,37890
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD MC,CHARGE NO 06,NO,CIRCLE NO 01,14488,7224,7264,0,84.47,91.02,78,0,1650,1542,0,2062,1605,0,907,806,0,14478,10,10987,8724,1032,3362,7931
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD MC,CHARGE NO 06,NO,CIRCLE NO 02,11531,5916,5614,1,87.11,93.57,80.39,100,1297,1232,0,1970,1355,1,696,650,0,11427,104,8812,6896,743,3086,6205
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD MC,CHARGE NO 06,NO,CIRCLE NO 03,6975,3725,3249,1,90.72,93.06,87.95,100,925,866,0,1113,791,0,569,462,0,6645,330,5592,4177,435,1312,3976
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD MC,CHARGE NO 06,NO,CIRCLE NO 04,9839,5052,4779,8,79.43,85.82,72.63,100,1189,1001,1,1340,945,0,412,392,0,9802,37,7400,5597,563,2480,5168
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD MC,CHARGE NO 06,NO,CIRCLE NO 05,13037,6600,6437,0,84.76,91.07,78.39,0,1495,1352,0,1780,1290,0,721,669,0,13009,28,9730,7638,813,3276,7055
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD TEHSIL,ABBOTTABAD MC,CHARGE NO 06,NO,CIRCLE NO 06,3817,1889,1926,2,82.93,89.28,77.1,50,391,402,1,556,435,0,285,286,0,3778,39,2988,2312,256,1016,2154
