province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OWNED,181852,84.92,WALL,BAKED BRICKS/BLOCKS/STONES,175402,81.91,147269
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OWNED,181852,84.92,WALL,UNBAKED BRICKS/MUD,33859,15.81,30564
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OWNED,181852,84.92,WALL,WOOD/BAMBOO,3244,1.51,2803
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OWNED,181852,84.92,WALL,OTHERS,1628,0.76,1216
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OWNED,181852,84.92,ROOF,RCC/RBC,97703,45.63,76993
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OWNED,181852,84.92,ROOF,CEMENT/IRON SHEETS,76188,35.58,67461
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OWNED,181852,84.92,ROOF,GARDER/T.IRON,2819,1.32,2462
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OWNED,181852,84.92,ROOF,WOOD/BAMBOO,34423,16.08,32476
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OWNED,181852,84.92,ROOF,OTHERS,3000,1.4,2460
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENTED,24934,11.64,WALL,BAKED BRICKS/BLOCKS/STONES,175402,81.91,23000
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENTED,24934,11.64,WALL,UNBAKED BRICKS/MUD,33859,15.81,1502
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENTED,24934,11.64,WALL,WOOD/BAMBOO,3244,1.51,195
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENTED,24934,11.64,WALL,OTHERS,1628,0.76,237
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENTED,24934,11.64,ROOF,RCC/RBC,97703,45.63,18044
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENTED,24934,11.64,ROOF,CEMENT/IRON SHEETS,76188,35.58,5901
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENTED,24934,11.64,ROOF,GARDER/T.IRON,2819,1.32,218
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENTED,24934,11.64,ROOF,WOOD/BAMBOO,34423,16.08,504
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENTED,24934,11.64,ROOF,OTHERS,3000,1.4,267
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENT FREE,7347,3.43,WALL,BAKED BRICKS/BLOCKS/STONES,175402,81.91,5133
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENT FREE,7347,3.43,WALL,UNBAKED BRICKS/MUD,33859,15.81,1793
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENT FREE,7347,3.43,WALL,WOOD/BAMBOO,3244,1.51,246
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENT FREE,7347,3.43,WALL,OTHERS,1628,0.76,175
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENT FREE,7347,3.43,ROOF,RCC/RBC,97703,45.63,2666
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENT FREE,7347,3.43,ROOF,CEMENT/IRON SHEETS,76188,35.58,2826
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENT FREE,7347,3.43,ROOF,GARDER/T.IRON,2819,1.32,139
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENT FREE,7347,3.43,ROOF,WOOD/BAMBOO,34423,16.08,1443
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,RENT FREE,7347,3.43,ROOF,OTHERS,3000,1.4,273
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,RURAL,OWNED,156346,92.06,WALL,BAKED BRICKS/BLOCKS/STONES,133308,78.5,122753
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,RURAL,OWNED,156346,92.06,WALL,UNBAKED BRICKS/MUD,32273,19,29858
