province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,KITCHEN,SEPARATE,125415,68.97,2862
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,KITCHEN,SHARED,33585,18.47,594
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,KITCHEN,NONE,22852,12.57,535
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,BATH,SEPARATE,128432,70.62,2957
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,BATH,SHARED,34266,18.84,585
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,BATH,NONE,19154,10.53,449
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,LATRINE,SEWER,15418,8.48,473
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,LATRINE,SEPTIC TANK,66620,36.63,1252
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,LATRINE,OPEN DRAIN,5141,2.83,152
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,LATRINE,PIT WITH SLAB,79975,43.98,1766
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,LATRINE,OTHER,1105,0.61,30
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3991,2.19,LATRINE,NONE,13593,7.47,318
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,KITCHEN,SEPARATE,125415,68.97,12108
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,KITCHEN,SHARED,33585,18.47,2924
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,KITCHEN,NONE,22852,12.57,2532
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,BATH,SEPARATE,128432,70.62,12573
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,BATH,SHARED,34266,18.84,2888
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,BATH,NONE,19154,10.53,2103
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,LATRINE,SEWER,15418,8.48,1674
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,LATRINE,SEPTIC TANK,66620,36.63,6597
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,LATRINE,OPEN DRAIN,5141,2.83,663
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,LATRINE,PIT WITH SLAB,79975,43.98,7172
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,17564,9.66,LATRINE,OTHER,1105,0.61,124
