province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,UNDER CONSTRUCTION,RCC/RBC,5803,5.75,BAKED BRICKS/BLOCKS/STONES,804,0.8,185
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,UNDER CONSTRUCTION,RCC/RBC,5803,5.75,UNBAKED BRICKS/MUD,849,0.84,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,UNDER CONSTRUCTION,RCC/RBC,5803,5.75,WOOD/BAMBOO,106,0.1,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,UNDER CONSTRUCTION,RCC/RBC,5803,5.75,OTHERS,159,0.16,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,LESS THAN 5 YEARS,RCC/RBC,5803,5.75,BAKED BRICKS/BLOCKS/STONES,3750,3.71,632
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,LESS THAN 5 YEARS,RCC/RBC,5803,5.75,UNBAKED BRICKS/MUD,3736,3.7,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,LESS THAN 5 YEARS,RCC/RBC,5803,5.75,WOOD/BAMBOO,337,0.33,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,LESS THAN 5 YEARS,RCC/RBC,5803,5.75,OTHERS,782,0.77,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,5 - 10 YEARS,RCC/RBC,5803,5.75,BAKED BRICKS/BLOCKS/STONES,8676,8.59,1364
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,5 - 10 YEARS,RCC/RBC,5803,5.75,UNBAKED BRICKS/MUD,7574,7.5,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,5 - 10 YEARS,RCC/RBC,5803,5.75,WOOD/BAMBOO,1069,1.06,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,5 - 10 YEARS,RCC/RBC,5803,5.75,OTHERS,1374,1.36,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,11 - 50 YEARS,RCC/RBC,5803,5.75,BAKED BRICKS/BLOCKS/STONES,30389,30.1,3459
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,11 - 50 YEARS,RCC/RBC,5803,5.75,UNBAKED BRICKS/MUD,30633,30.34,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,11 - 50 YEARS,RCC/RBC,5803,5.75,WOOD/BAMBOO,2112,2.09,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,11 - 50 YEARS,RCC/RBC,5803,5.75,OTHERS,3131,3.1,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,OVER 50 YEARS,RCC/RBC,5803,5.75,BAKED BRICKS/BLOCKS/STONES,1747,1.73,163
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,OVER 50 YEARS,RCC/RBC,5803,5.75,UNBAKED BRICKS/MUD,2956,2.93,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,OVER 50 YEARS,RCC/RBC,5803,5.75,WOOD/BAMBOO,435,0.43,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,OVER 50 YEARS,RCC/RBC,5803,5.75,OTHERS,349,0.35,0
FATA,026,KHYBER AGENCY,KHYBER AGENCY,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,2471,2.45,BAKED BRICKS/BLOCKS/STONES,804,0.8,34
