province_name,district_code,district_name,area_name,area_type,gender,nationality_status,age_group,count
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,TOTAL,ALL AGES,615372
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,PAKISTANI,ALL AGES,612911
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,NON-PAKISTANI,ALL AGES,2461
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,TOTAL,ALL AGES,577327
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,PAKISTANI,ALL AGES,575171
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,NON-PAKISTANI,ALL AGES,2156
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,TOTAL,ALL AGES,38045
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,PAKISTANI,ALL AGES,37740
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,NON-PAKISTANI,ALL AGES,305
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,TOTAL,00 - 04,106814
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,PAKISTANI,00 - 04,106332
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,NON-PAKISTANI,00 - 04,482
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,TOTAL,00 - 04,100332
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,PAKISTANI,00 - 04,99906
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,NON-PAKISTANI,00 - 04,426
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,TOTAL,00 - 04,6482
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,PAKISTANI,00 - 04,6426
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,NON-PAKISTANI,00 - 04,56
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,TOTAL,05 - 09,104245
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,PAKISTANI,05 - 09,103763
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,NON-PAKISTANI,05 - 09,482
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,TOTAL,05 - 09,98121
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,PAKISTANI,05 - 09,97701
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,NON-PAKISTANI,05 - 09,420
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,TOTAL,05 - 09,6124
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,PAKISTANI,05 - 09,6062
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,NON-PAKISTANI,05 - 09,62
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,TOTAL,10 - 14,78910
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,PAKISTANI,10 - 14,78555
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,NON-PAKISTANI,10 - 14,355
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,TOTAL,10 - 14,73979
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,PAKISTANI,10 - 14,73671
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,NON-PAKISTANI,10 - 14,308
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,TOTAL,10 - 14,4931
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,PAKISTANI,10 - 14,4884
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,NON-PAKISTANI,10 - 14,47
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,TOTAL,15 - 19,59528
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,PAKISTANI,15 - 19,59278
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,NON-PAKISTANI,15 - 19,250
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,TOTAL,15 - 19,55464
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,PAKISTANI,15 - 19,55248
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,NON-PAKISTANI,15 - 19,216
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,TOTAL,15 - 19,4064
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,PAKISTANI,15 - 19,4030
