province_name,district_code,district_name,area_name,area_type,gender,count
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,ALL SEXES,56638
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,MALE,53201
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,FEMALE,3437
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,TRANSGENDER,0
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,ALL SEXES,54722
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,MALE,51400
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,FEMALE,3322
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,TRANSGENDER,0
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,ALL SEXES,1916
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,MALE,1801
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,FEMALE,115
FATA,027,KURRAM AGENCY,KURRAM AGENCY,URBAN,TRANSGENDER,0
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,TOTAL,ALL SEXES,25811
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,TOTAL,MALE,23915
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,TOTAL,FEMALE,1896
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,TOTAL,TRANSGENDER,0
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,RURAL,ALL SEXES,25811
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,RURAL,MALE,23915
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,RURAL,FEMALE,1896
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,RURAL,TRANSGENDER,0
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,URBAN,ALL SEXES,0
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,URBAN,MALE,0
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,URBAN,FEMALE,0
FATA,027,KURRAM AGENCY,CENTRAL KURRAM F.R,URBAN,TRANSGENDER,0
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,TOTAL,ALL SEXES,9196
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,TOTAL,MALE,8670
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,TOTAL,FEMALE,526
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,TOTAL,TRANSGENDER,0
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,RURAL,ALL SEXES,7445
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,RURAL,MALE,7030
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,RURAL,FEMALE,415
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,RURAL,TRANSGENDER,0
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,URBAN,ALL SEXES,1751
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,URBAN,MALE,1640
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,URBAN,FEMALE,111
FATA,027,KURRAM AGENCY,LOWER KURRAM TEHSIL,URBAN,TRANSGENDER,0
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,TOTAL,ALL SEXES,21631
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,TOTAL,MALE,20616
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,TOTAL,FEMALE,1015
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,TOTAL,TRANSGENDER,0
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,RURAL,ALL SEXES,21466
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,RURAL,MALE,20455
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,RURAL,FEMALE,1011
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,RURAL,TRANSGENDER,0
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,URBAN,ALL SEXES,165
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,URBAN,MALE,161
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,URBAN,FEMALE,4
FATA,027,KURRAM AGENCY,UPPER KURRAM TEHSIL,URBAN,TRANSGENDER,0
