province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,OWNED,56638,84.43,WALL,BAKED BRICKS/BLOCKS/STONES,30236,45.07,26951
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,OWNED,56638,84.43,WALL,UNBAKED BRICKS/MUD,28607,42.65,23066
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,OWNED,56638,84.43,WALL,WOOD/BAMBOO,4430,6.6,3418
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,OWNED,56638,84.43,WALL,OTHERS,3808,5.68,3203
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,OWNED,56638,84.43,ROOF,RCC/RBC,7867,11.73,6456
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,OWNED,56638,84.43,ROOF,CEMENT/IRON SHEETS,2820,4.2,2135
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,OWNED,56638,84.43,ROOF,GARDER/T.IRON,10390,15.49,8213
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,OWNED,56638,84.43,ROOF,WOOD/BAMBOO,41979,62.58,36531
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,OWNED,56638,84.43,ROOF,OTHERS,4025,6,3303
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENTED,5840,8.71,WALL,BAKED BRICKS/BLOCKS/STONES,30236,45.07,2101
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENTED,5840,8.71,WALL,UNBAKED BRICKS/MUD,28607,42.65,2884
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENTED,5840,8.71,WALL,WOOD/BAMBOO,4430,6.6,515
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENTED,5840,8.71,WALL,OTHERS,3808,5.68,340
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENTED,5840,8.71,ROOF,RCC/RBC,7867,11.73,1162
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENTED,5840,8.71,ROOF,CEMENT/IRON SHEETS,2820,4.2,552
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENTED,5840,8.71,ROOF,GARDER/T.IRON,10390,15.49,1242
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENTED,5840,8.71,ROOF,WOOD/BAMBOO,41979,62.58,2388
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENTED,5840,8.71,ROOF,OTHERS,4025,6,496
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENT FREE,4603,6.86,WALL,BAKED BRICKS/BLOCKS/STONES,30236,45.07,1184
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENT FREE,4603,6.86,WALL,UNBAKED BRICKS/MUD,28607,42.65,2657
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENT FREE,4603,6.86,WALL,WOOD/BAMBOO,4430,6.6,497
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENT FREE,4603,6.86,WALL,OTHERS,3808,5.68,265
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENT FREE,4603,6.86,ROOF,RCC/RBC,7867,11.73,249
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENT FREE,4603,6.86,ROOF,CEMENT/IRON SHEETS,2820,4.2,133
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENT FREE,4603,6.86,ROOF,GARDER/T.IRON,10390,15.49,935
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENT FREE,4603,6.86,ROOF,WOOD/BAMBOO,41979,62.58,3060
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,RENT FREE,4603,6.86,ROOF,OTHERS,4025,6,226
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,OWNED,54722,86.76,WALL,BAKED BRICKS/BLOCKS/STONES,28827,45.71,26222
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,OWNED,54722,86.76,WALL,UNBAKED BRICKS/MUD,26615,42.2,22180
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,OWNED,54722,86.76,WALL,WOOD/BAMBOO,4187,6.64,3321
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,OWNED,54722,86.76,WALL,OTHERS,3441,5.46,2999
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,OWNED,54722,86.76,ROOF,RCC/RBC,7156,11.35,6139
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,OWNED,54722,86.76,ROOF,CEMENT/IRON SHEETS,2458,3.9,1936
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,OWNED,54722,86.76,ROOF,GARDER/T.IRON,9061,14.37,7394
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,OWNED,54722,86.76,ROOF,WOOD/BAMBOO,40897,64.84,36215
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,OWNED,54722,86.76,ROOF,OTHERS,3498,5.55,3038
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,WALL,BAKED BRICKS/BLOCKS/STONES,28827,45.71,1455
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,WALL,UNBAKED BRICKS/MUD,26615,42.2,2037
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,WALL,WOOD/BAMBOO,4187,6.64,449
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,WALL,OTHERS,3441,5.46,199
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,ROOF,RCC/RBC,7156,11.35,789
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,ROOF,CEMENT/IRON SHEETS,2458,3.9,397
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,ROOF,GARDER/T.IRON,9061,14.37,864
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,ROOF,WOOD/BAMBOO,40897,64.84,1837
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENTED,4140,6.56,ROOF,OTHERS,3498,5.55,253
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,WALL,BAKED BRICKS/BLOCKS/STONES,28827,45.71,1150
FATA,027,KURRAM AGENCY,KURRAM AGENCY,RURAL,RENT FREE,4208,6.67,WALL,UNBAKED BRICKS/MUD,26615,42.2,2398
