province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,KITCHEN,SEPARATE,30749,54.29,752
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,KITCHEN,SHARED,11926,21.06,159
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,KITCHEN,NONE,13963,24.65,218
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,BATH,SEPARATE,36727,64.85,819
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,BATH,SHARED,13888,24.52,147
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,BATH,NONE,6023,10.63,163
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,LATRINE,SEWER,4681,8.26,135
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,LATRINE,SEPTIC TANK,15541,27.44,250
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,LATRINE,OPEN DRAIN,6154,10.87,126
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,LATRINE,PIT WITH SLAB,17901,31.61,317
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,LATRINE,OTHER,4641,8.19,102
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,UNDER CONSTRUCTION,1129,1.99,LATRINE,NONE,7720,13.63,199
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,KITCHEN,SEPARATE,30749,54.29,3688
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,KITCHEN,SHARED,11926,21.06,1069
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,KITCHEN,NONE,13963,24.65,1111
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,BATH,SEPARATE,36727,64.85,4232
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,BATH,SHARED,13888,24.52,1068
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,BATH,NONE,6023,10.63,568
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,LATRINE,SEWER,4681,8.26,771
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,LATRINE,SEPTIC TANK,15541,27.44,1623
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,LATRINE,OPEN DRAIN,6154,10.87,655
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,LATRINE,PIT WITH SLAB,17901,31.61,1651
FATA,027,KURRAM AGENCY,KURRAM AGENCY,TOTAL,LESS THAN 5 YEARS,5868,10.36,LATRINE,OTHER,4641,8.19,426
