province_name,district_code,district_name,area_name,area_type,gender,count
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,BOTH SEXES,11459
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,MALE,9163
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,TOTAL,FEMALE,2296
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,BOTH SEXES,11459
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,MALE,9163
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,RURAL,FEMALE,2296
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,URBAN,BOTH SEXES,0
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,URBAN,MALE,0
FATA,028,MOHMAND AGENCY,MOHMAND AGENCY,URBAN,FEMALE,0
FATA,028,MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,TOTAL,BOTH SEXES,786
FATA,028,MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,TOTAL,MALE,631
FATA,028,MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,TOTAL,FEMALE,155
FATA,028,MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,RURAL,BOTH SEXES,786
FATA,028,MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,RURAL,MALE,631
FATA,028,MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,RURAL,FEMALE,155
FATA,028,MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,URBAN,BOTH SEXES,0
FATA,028,MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,URBAN,MALE,0
FATA,028,MOHMAND AGENCY,AMBAR UTMAN KHEL TEHSIL,URBAN,FEMALE,0
FATA,028,MOHMAND AGENCY,HALIM ZAI TEHSIL,TOTAL,BOTH SEXES,2997
FATA,028,MOHMAND AGENCY,HALIM ZAI TEHSIL,TOTAL,MALE,2283
FATA,028,MOHMAND AGENCY,HALIM ZAI TEHSIL,TOTAL,FEMALE,714
FATA,028,MOHMAND AGENCY,HALIM ZAI TEHSIL,RURAL,BOTH SEXES,2997
FATA,028,MOHMAND AGENCY,HALIM ZAI TEHSIL,RURAL,MALE,2283
FATA,028,MOHMAND AGENCY,HALIM ZAI TEHSIL,RURAL,FEMALE,714
FATA,028,MOHMAND AGENCY,HALIM ZAI TEHSIL,URBAN,BOTH SEXES,0
FATA,028,MOHMAND AGENCY,HALIM ZAI TEHSIL,URBAN,MALE,0
FATA,028,MOHMAND AGENCY,HALIM ZAI TEHSIL,URBAN,FEMALE,0
FATA,028,MOHMAND AGENCY,PINDIALI TEHSIL,TOTAL,BOTH SEXES,1455
FATA,028,MOHMAND AGENCY,PINDIALI TEHSIL,TOTAL,MALE,1401
FATA,028,MOHMAND AGENCY,PINDIALI TEHSIL,TOTAL,FEMALE,54
FATA,028,MOHMAND AGENCY,PINDIALI TEHSIL,RURAL,BOTH SEXES,1455
FATA,028,MOHMAND AGENCY,PINDIALI TEHSIL,RURAL,MALE,1401
FATA,028,MOHMAND AGENCY,PINDIALI TEHSIL,RURAL,FEMALE,54
FATA,028,MOHMAND AGENCY,PINDIALI TEHSIL,URBAN,BOTH SEXES,0
FATA,028,MOHMAND AGENCY,PINDIALI TEHSIL,URBAN,MALE,0
FATA,028,MOHMAND AGENCY,PINDIALI TEHSIL,URBAN,FEMALE,0
FATA,028,MOHMAND AGENCY,PRANG GHAR TEHSIL,TOTAL,BOTH SEXES,851
FATA,028,MOHMAND AGENCY,PRANG GHAR TEHSIL,TOTAL,MALE,704
FATA,028,MOHMAND AGENCY,PRANG GHAR TEHSIL,TOTAL,FEMALE,147
FATA,028,MOHMAND AGENCY,PRANG GHAR TEHSIL,RURAL,BOTH SEXES,851
FATA,028,MOHMAND AGENCY,PRANG GHAR TEHSIL,RURAL,MALE,704
FATA,028,MOHMAND AGENCY,PRANG GHAR TEHSIL,RURAL,FEMALE,147
FATA,028,MOHMAND AGENCY,PRANG GHAR TEHSIL,URBAN,BOTH SEXES,0
FATA,028,MOHMAND AGENCY,PRANG GHAR TEHSIL,URBAN,MALE,0
FATA,028,MOHMAND AGENCY,PRANG GHAR TEHSIL,URBAN,FEMALE,0
FATA,028,MOHMAND AGENCY,SAFI TEHSIL,TOTAL,BOTH SEXES,2316
FATA,028,MOHMAND AGENCY,SAFI TEHSIL,TOTAL,MALE,1562
FATA,028,MOHMAND AGENCY,SAFI TEHSIL,TOTAL,FEMALE,754
FATA,028,MOHMAND AGENCY,SAFI TEHSIL,RURAL,BOTH SEXES,2316
FATA,028,MOHMAND AGENCY,SAFI TEHSIL,RURAL,MALE,1562
FATA,028,MOHMAND AGENCY,SAFI TEHSIL,RURAL,FEMALE,754
FATA,028,MOHMAND AGENCY,SAFI TEHSIL,URBAN,BOTH SEXES,0
FATA,028,MOHMAND AGENCY,SAFI TEHSIL,URBAN,MALE,0
FATA,028,MOHMAND AGENCY,SAFI TEHSIL,URBAN,FEMALE,0
FATA,028,MOHMAND AGENCY,UPPER MOHMAND TEHSIL,TOTAL,BOTH SEXES,1088
FATA,028,MOHMAND AGENCY,UPPER MOHMAND TEHSIL,TOTAL,MALE,716
FATA,028,MOHMAND AGENCY,UPPER MOHMAND TEHSIL,TOTAL,FEMALE,372
FATA,028,MOHMAND AGENCY,UPPER MOHMAND TEHSIL,RURAL,BOTH SEXES,1088
FATA,028,MOHMAND AGENCY,UPPER MOHMAND TEHSIL,RURAL,MALE,716
FATA,028,MOHMAND AGENCY,UPPER MOHMAND TEHSIL,RURAL,FEMALE,372
FATA,028,MOHMAND AGENCY,UPPER MOHMAND TEHSIL,URBAN,BOTH SEXES,0
FATA,028,MOHMAND AGENCY,UPPER MOHMAND TEHSIL,URBAN,MALE,0
FATA,028,MOHMAND AGENCY,UPPER MOHMAND TEHSIL,URBAN,FEMALE,0
FATA,028,MOHMAND AGENCY,YAKE GHUND TEHSIL,TOTAL,BOTH SEXES,1966
FATA,028,MOHMAND AGENCY,YAKE GHUND TEHSIL,TOTAL,MALE,1866
FATA,028,MOHMAND AGENCY,YAKE GHUND TEHSIL,TOTAL,FEMALE,100
FATA,028,MOHMAND AGENCY,YAKE GHUND TEHSIL,RURAL,BOTH SEXES,1966
FATA,028,MOHMAND AGENCY,YAKE GHUND TEHSIL,RURAL,MALE,1866
FATA,028,MOHMAND AGENCY,YAKE GHUND TEHSIL,RURAL,FEMALE,100
FATA,028,MOHMAND AGENCY,YAKE GHUND TEHSIL,URBAN,BOTH SEXES,0
FATA,028,MOHMAND AGENCY,YAKE GHUND TEHSIL,URBAN,MALE,0
FATA,028,MOHMAND AGENCY,YAKE GHUND TEHSIL,URBAN,FEMALE,0
