province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,254303,7529,46793,92698,132797,123796,43507,63247,104741,120597,102168,112058,10877,6624
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,MALE,127564,3899,24050,48164,68989,63655,21580,30698,50237,57917,48618,53846,5686,3522
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,FEMALE,126728,3630,22743,44534,63808,60139,21925,32545,54496,62670,53540,58201,5190,3101
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,TRANSGENDER,11,0,0,0,0,2,2,4,8,10,10,11,1,1
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,RURAL,ALL SEXES,254303,7529,46793,92698,132797,123796,43507,63247,104741,120597,102168,112058,10877,6624
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,RURAL,MALE,127564,3899,24050,48164,68989,63655,21580,30698,50237,57917,48618,53846,5686,3522
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,RURAL,FEMALE,126728,3630,22743,44534,63808,60139,21925,32545,54496,62670,53540,58201,5190,3101
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,RURAL,TRANSGENDER,11,0,0,0,0,2,2,4,8,10,10,11,1,1
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,URBAN,ALL SEXES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,URBAN,MALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,URBAN,FEMALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,URBAN,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,TOTAL,ALL SEXES,59132,1780,11448,22444,31554,28982,10123,14366,23555,27268,23086,25387,2576,1557
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,TOTAL,MALE,29440,937,5951,11686,16391,14641,4850,6886,11108,12883,10798,12008,1319,815
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,TOTAL,FEMALE,29691,843,5497,10758,15163,14341,5273,7480,12446,14384,12287,13378,1257,742
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,TOTAL,TRANSGENDER,1,0,0,0,0,0,0,0,1,1,1,1,0,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,RURAL,ALL SEXES,59132,1780,11448,22444,31554,28982,10123,14366,23555,27268,23086,25387,2576,1557
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,RURAL,MALE,29440,937,5951,11686,16391,14641,4850,6886,11108,12883,10798,12008,1319,815
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,RURAL,FEMALE,29691,843,5497,10758,15163,14341,5273,7480,12446,14384,12287,13378,1257,742
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,RURAL,TRANSGENDER,1,0,0,0,0,0,0,0,1,1,1,1,0,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,URBAN,ALL SEXES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,URBAN,MALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,URBAN,FEMALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,URBAN,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,TOTAL,ALL SEXES,23963,644,3876,7901,11802,11945,4616,6509,10575,12094,10174,11178,1121,664
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,TOTAL,MALE,12058,357,1991,4116,6134,6098,2246,3174,5144,5859,4888,5421,590,356
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,TOTAL,FEMALE,11905,287,1885,3785,5668,5847,2370,3335,5431,6235,5286,5757,531,308
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,TOTAL,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
