province_name,district_code,district_name,area_name,area_type,gender,ed_attainment,age_group,count
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,10 AND ABOVE,58818
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,10 - 14,20564
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,15 - 19,12119
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,20 - 24,7609
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,25 - 29,6368
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,30 - 34,4504
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,35 - 39,2781
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,40 - 44,1890
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,45 - 49,1071
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,50 - 54,721
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,55 - 59,499
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,60 - 64,309
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,65 - 69,179
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,70 - 74,92
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,TOTAL,75 AND ABOVE,112
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,10 AND ABOVE,10990
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,10 - 14,6672
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,15 - 19,1258
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,20 - 24,695
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,25 - 29,673
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,30 - 34,501
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,35 - 39,311
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,40 - 44,229
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,45 - 49,195
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,50 - 54,166
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,55 - 59,98
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,60 - 64,85
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,65 - 69,55
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,70 - 74,25
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,BELOW PRIMARY,75 AND ABOVE,27
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,10 AND ABOVE,19228
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,10 - 14,11026
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,15 - 19,2755
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,20 - 24,1328
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,25 - 29,1393
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,30 - 34,926
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,35 - 39,635
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,40 - 44,378
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,45 - 49,233
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,50 - 54,197
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,55 - 59,146
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,60 - 64,93
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,65 - 69,61
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,ALL SEXES,PRIMARY,70 - 74,25
