province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,UNDER CONSTRUCTION,239,0.81,WALL,BAKED BRICKS/BLOCKS/STONES,9005,30.53,136
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,UNDER CONSTRUCTION,239,0.81,WALL,UNBAKED BRICKS/MUD,18330,62.14,84
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,UNDER CONSTRUCTION,239,0.81,WALL,WOOD/BAMBOO,872,2.96,12
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,UNDER CONSTRUCTION,239,0.81,WALL,OTHERS,1291,4.38,7
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,UNDER CONSTRUCTION,239,0.81,ROOF,RCC/RBC,569,1.93,20
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,UNDER CONSTRUCTION,239,0.81,ROOF,CEMENT/IRON SHEETS,401,1.36,12
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,UNDER CONSTRUCTION,239,0.81,ROOF,GARDER/T.IRON,1547,5.24,24
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,UNDER CONSTRUCTION,239,0.81,ROOF,WOOD/BAMBOO,25383,86.05,164
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,UNDER CONSTRUCTION,239,0.81,ROOF,OTHERS,1598,5.42,19
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,LESS THAN 5 YEARS,1510,5.12,WALL,BAKED BRICKS/BLOCKS/STONES,9005,30.53,791
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,LESS THAN 5 YEARS,1510,5.12,WALL,UNBAKED BRICKS/MUD,18330,62.14,643
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,LESS THAN 5 YEARS,1510,5.12,WALL,WOOD/BAMBOO,872,2.96,26
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,LESS THAN 5 YEARS,1510,5.12,WALL,OTHERS,1291,4.38,50
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,LESS THAN 5 YEARS,1510,5.12,ROOF,RCC/RBC,569,1.93,71
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,LESS THAN 5 YEARS,1510,5.12,ROOF,CEMENT/IRON SHEETS,401,1.36,40
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,LESS THAN 5 YEARS,1510,5.12,ROOF,GARDER/T.IRON,1547,5.24,194
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,LESS THAN 5 YEARS,1510,5.12,ROOF,WOOD/BAMBOO,25383,86.05,1150
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,LESS THAN 5 YEARS,1510,5.12,ROOF,OTHERS,1598,5.42,55
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,5-10 YEARS,3496,11.85,WALL,BAKED BRICKS/BLOCKS/STONES,9005,30.53,1156
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,5-10 YEARS,3496,11.85,WALL,UNBAKED BRICKS/MUD,18330,62.14,2044
