province_name,district_code,district_name,area_name,area_type,information_source,count
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,24545
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,RADIO,17258
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,TV,2789
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,NEWSPAPER,564
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,MOBILE,8606
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,TOTAL,COMPUTER/INTERNET,14795
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,24545
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,RURAL,RADIO,17258
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,RURAL,TV,2789
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,RURAL,NEWSPAPER,564
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,RURAL,MOBILE,8606
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,RURAL,COMPUTER/INTERNET,14795
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,0
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,URBAN,RADIO,0
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,URBAN,TV,0
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,URBAN,NEWSPAPER,0
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,URBAN,MOBILE,0
FATA,030,ORAKZAI AGENCY,ORAKZAI AGENCY,URBAN,COMPUTER/INTERNET,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,5478
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,TOTAL,RADIO,3674
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,TOTAL,TV,78
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,TOTAL,NEWSPAPER,133
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,TOTAL,MOBILE,2186
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,TOTAL,COMPUTER/INTERNET,4401
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,5478
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,RURAL,RADIO,3674
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,RURAL,TV,78
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,RURAL,NEWSPAPER,133
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,RURAL,MOBILE,2186
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,RURAL,COMPUTER/INTERNET,4401
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,URBAN,RADIO,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,URBAN,TV,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,URBAN,NEWSPAPER,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,URBAN,MOBILE,0
FATA,030,ORAKZAI AGENCY,CENTRAL TEHSIL,URBAN,COMPUTER/INTERNET,0
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,1787
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,TOTAL,RADIO,1180
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,TOTAL,TV,65
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,TOTAL,NEWSPAPER,36
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,TOTAL,MOBILE,278
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,TOTAL,COMPUTER/INTERNET,1206
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,1787
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,RURAL,RADIO,1180
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,RURAL,TV,65
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,RURAL,NEWSPAPER,36
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,RURAL,MOBILE,278
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,RURAL,COMPUTER/INTERNET,1206
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,0
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,URBAN,RADIO,0
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,URBAN,TV,0
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,URBAN,NEWSPAPER,0
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,URBAN,MOBILE,0
FATA,030,ORAKZAI AGENCY,ISMAIL ZAI TEHSIL,URBAN,COMPUTER/INTERNET,0
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,10461
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,RADIO,6255
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,TV,2623
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,NEWSPAPER,348
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,MOBILE,5640
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,TOTAL,COMPUTER/INTERNET,6873
FATA,030,ORAKZAI AGENCY,LOWER TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,10461
