province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,1290,1090987,556036,534895,56,103.95,845.73,NA,8.86,595227,3.23
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,NA,1090987,556036,534895,56,103.95,NA,NA,8.86,595227,3.23
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,TOTAL,13,2868,1447,1420,1,101.9,220.62,NA,8.43,3247,-0.65
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,RURAL,NA,2868,1447,1420,1,101.9,NA,NA,8.43,3247,-0.65
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,TOTAL,159,76493,38312,38179,2,100.35,481.09,NA,7.2,50139,2.24
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,RURAL,NA,76493,38312,38179,2,100.35,NA,NA,7.2,50139,2.24
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,TOTAL,238,246875,126965,119894,16,105.9,1037.29,NA,8.85,116196,4.04
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,RURAL,NA,246875,126965,119894,16,105.9,NA,NA,8.85,116196,4.04
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FATA,032,BAJAUR AGENCY,MAMUND TEHSIL,TOTAL,250,311373,159978,151380,15,105.68,1245.49,NA,8.66,168283,3.29
FATA,032,BAJAUR AGENCY,MAMUND TEHSIL,RURAL,NA,311373,159978,151380,15,105.68,NA,NA,8.66,168283,3.29
FATA,032,BAJAUR AGENCY,MAMUND TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FATA,032,BAJAUR AGENCY,NAWAGAI TEHSIL,TOTAL,216,78494,40578,37910,6,107.04,363.4,NA,10.03,57264,1.67
FATA,032,BAJAUR AGENCY,NAWAGAI TEHSIL,RURAL,NA,78494,40578,37910,6,107.04,NA,NA,10.03,57264,1.67
FATA,032,BAJAUR AGENCY,NAWAGAI TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FATA,032,BAJAUR AGENCY,SALARZAI TEHSIL,TOTAL,220,267636,134539,133083,14,101.09,1216.53,NA,9.12,141750,3.4
FATA,032,BAJAUR AGENCY,SALARZAI TEHSIL,RURAL,NA,267636,134539,133083,14,101.09,NA,NA,9.12,141750,3.4
FATA,032,BAJAUR AGENCY,SALARZAI TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FATA,032,BAJAUR AGENCY,UTMAN KHEL TEHSIL,TOTAL,194,107248,54217,53029,2,102.24,552.82,NA,9.71,58348,3.25
FATA,032,BAJAUR AGENCY,UTMAN KHEL TEHSIL,RURAL,NA,107248,54217,53029,2,102.24,NA,NA,9.71,58348,3.25
FATA,032,BAJAUR AGENCY,UTMAN KHEL TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
