province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,603,ALL SEXES,1090987
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,603,MALE,556036
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,603,FEMALE,534895
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,603,TRANSGENDER,56
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"5,000 AND ABOVE",33,ALL SEXES,238735
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"5,000 AND ABOVE",33,MALE,122707
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"5,000 AND ABOVE",33,FEMALE,116018
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"5,000 AND ABOVE",33,TRANSGENDER,10
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"2,000 - 4,999",154,ALL SEXES,465568
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"2,000 - 4,999",154,MALE,236696
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"2,000 - 4,999",154,FEMALE,228842
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"2,000 - 4,999",154,TRANSGENDER,30
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"1,000 - 1,999",178,ALL SEXES,260551
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"1,000 - 1,999",178,MALE,132714
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"1,000 - 1,999",178,FEMALE,127826
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,"1,000 - 1,999",178,TRANSGENDER,11
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,500 - 999,126,ALL SEXES,90602
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,500 - 999,126,MALE,45789
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,500 - 999,126,FEMALE,44810
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,500 - 999,126,TRANSGENDER,3
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,200 - 499,91,ALL SEXES,33019
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,200 - 499,91,MALE,16843
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,200 - 499,91,FEMALE,16174
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,200 - 499,91,TRANSGENDER,2
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,LESS THAN 200,21,ALL SEXES,2512
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,LESS THAN 200,21,MALE,1287
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,LESS THAN 200,21,FEMALE,1225
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,LESS THAN 200,21,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,UN-INHABITED,-,ALL SEXES,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,UN-INHABITED,-,MALE,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,UN-INHABITED,-,FEMALE,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,UN-INHABITED,-,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,TOTAL,7,ALL SEXES,2868
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,TOTAL,7,MALE,1447
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,TOTAL,7,FEMALE,1420
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,TOTAL,7,TRANSGENDER,1
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"5,000 AND ABOVE",-,ALL SEXES,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"5,000 AND ABOVE",-,MALE,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"5,000 AND ABOVE",-,FEMALE,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"5,000 AND ABOVE",-,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"2,000 - 4,999",-,ALL SEXES,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"2,000 - 4,999",-,MALE,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"2,000 - 4,999",-,FEMALE,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"2,000 - 4,999",-,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"1,000 - 1,999",1,ALL SEXES,1359
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"1,000 - 1,999",1,MALE,670
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"1,000 - 1,999",1,FEMALE,688
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,"1,000 - 1,999",1,TRANSGENDER,1
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,500 - 999,1,ALL SEXES,687
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,500 - 999,1,MALE,337
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,500 - 999,1,FEMALE,350
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,500 - 999,1,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,200 - 499,2,ALL SEXES,629
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,200 - 499,2,MALE,337
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,200 - 499,2,FEMALE,292
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,200 - 499,2,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,LESS THAN 200,3,ALL SEXES,193
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,LESS THAN 200,3,MALE,103
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,LESS THAN 200,3,FEMALE,90
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,LESS THAN 200,3,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,UN-INHABITED,-,ALL SEXES,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,UN-INHABITED,-,MALE,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,UN-INHABITED,-,FEMALE,0
FATA,032,BAJAUR AGENCY,BAR CHAMER KAND TEHSIL,UN-INHABITED,-,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,TOTAL,56,ALL SEXES,76493
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,TOTAL,56,MALE,38312
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,TOTAL,56,FEMALE,38179
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,TOTAL,56,TRANSGENDER,2
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"5,000 AND ABOVE",-,ALL SEXES,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"5,000 AND ABOVE",-,MALE,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"5,000 AND ABOVE",-,FEMALE,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"5,000 AND ABOVE",-,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"2,000 - 4,999",10,ALL SEXES,27751
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"2,000 - 4,999",10,MALE,13998
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"2,000 - 4,999",10,FEMALE,13752
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"2,000 - 4,999",10,TRANSGENDER,1
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"1,000 - 1,999",22,ALL SEXES,32743
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"1,000 - 1,999",22,MALE,16327
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"1,000 - 1,999",22,FEMALE,16416
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,"1,000 - 1,999",22,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,500 - 999,18,ALL SEXES,13721
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,500 - 999,18,MALE,6824
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,500 - 999,18,FEMALE,6896
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,500 - 999,18,TRANSGENDER,1
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,200 - 499,6,ALL SEXES,2278
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,200 - 499,6,MALE,1163
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,200 - 499,6,FEMALE,1115
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,200 - 499,6,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,LESS THAN 200,-,ALL SEXES,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,LESS THAN 200,-,MALE,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,LESS THAN 200,-,FEMALE,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,LESS THAN 200,-,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,UN-INHABITED,-,ALL SEXES,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,UN-INHABITED,-,MALE,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,UN-INHABITED,-,FEMALE,0
FATA,032,BAJAUR AGENCY,BARANG TEHSIL,UN-INHABITED,-,TRANSGENDER,0
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,TOTAL,87,ALL SEXES,246875
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,TOTAL,87,MALE,126965
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,TOTAL,87,FEMALE,119894
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,TOTAL,87,TRANSGENDER,16
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"5,000 AND ABOVE",12,ALL SEXES,89772
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"5,000 AND ABOVE",12,MALE,46602
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"5,000 AND ABOVE",12,FEMALE,43165
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"5,000 AND ABOVE",12,TRANSGENDER,5
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"2,000 - 4,999",35,ALL SEXES,114339
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"2,000 - 4,999",35,MALE,58257
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"2,000 - 4,999",35,FEMALE,56075
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"2,000 - 4,999",35,TRANSGENDER,7
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"1,000 - 1,999",23,ALL SEXES,32708
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"1,000 - 1,999",23,MALE,16866
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"1,000 - 1,999",23,FEMALE,15838
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,"1,000 - 1,999",23,TRANSGENDER,4
FATA,032,BAJAUR AGENCY,KHAR BAJAUR TEHSIL,500 - 999,12,ALL SEXES,8175
