province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,ALL SEXES,1090987,100,REGULAR,121487,99.45,1076880
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,ALL SEXES,1090987,100,INSTITUTIONAL,658,0.54,14077
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,ALL SEXES,1090987,100,HOMELESS,8,0.01,30
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,ALL SEXES,1090987,100,TOTAL,122153,100,1090987
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,MALE,556036,50.97,REGULAR,121487,99.45,547853
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,MALE,556036,50.97,INSTITUTIONAL,658,0.54,8162
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,MALE,556036,50.97,HOMELESS,8,0.01,21
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,MALE,556036,50.97,TOTAL,122153,100,556036
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,FEMALE,534895,49.03,REGULAR,121487,99.45,528972
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,FEMALE,534895,49.03,INSTITUTIONAL,658,0.54,5914
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,FEMALE,534895,49.03,HOMELESS,8,0.01,9
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,FEMALE,534895,49.03,TOTAL,122153,100,534895
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,TRANSGENDER,56,0.01,REGULAR,121487,99.45,55
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,TRANSGENDER,56,0.01,INSTITUTIONAL,658,0.54,1
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,TRANSGENDER,56,0.01,HOMELESS,8,0.01,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,TRANSGENDER,56,0.01,TOTAL,122153,100,56
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,ALL SEXES,1090987,100,REGULAR,121487,99.45,1076880
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,ALL SEXES,1090987,100,INSTITUTIONAL,658,0.54,14077
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,ALL SEXES,1090987,100,HOMELESS,8,0.01,30
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,ALL SEXES,1090987,100,TOTAL,122153,100,1090987
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,MALE,556036,50.97,REGULAR,121487,99.45,547853
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,MALE,556036,50.97,INSTITUTIONAL,658,0.54,8162
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,MALE,556036,50.97,HOMELESS,8,0.01,21
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,MALE,556036,50.97,TOTAL,122153,100,556036
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,FEMALE,534895,49.03,REGULAR,121487,99.45,528972
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,FEMALE,534895,49.03,INSTITUTIONAL,658,0.54,5914
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,FEMALE,534895,49.03,HOMELESS,8,0.01,9
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,FEMALE,534895,49.03,TOTAL,122153,100,534895
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,TRANSGENDER,56,0.01,REGULAR,121487,99.45,55
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,TRANSGENDER,56,0.01,INSTITUTIONAL,658,0.54,1
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,TRANSGENDER,56,0.01,HOMELESS,8,0.01,0
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,RURAL,TRANSGENDER,56,0.01,TOTAL,122153,100,56
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,ALL SEXES,NA,NA,REGULAR,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,ALL SEXES,NA,NA,INSTITUTIONAL,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,ALL SEXES,NA,NA,HOMELESS,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,ALL SEXES,NA,NA,TOTAL,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,MALE,NA,NA,REGULAR,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,MALE,NA,NA,INSTITUTIONAL,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,MALE,NA,NA,HOMELESS,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,MALE,NA,NA,TOTAL,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,FEMALE,NA,NA,REGULAR,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,FEMALE,NA,NA,INSTITUTIONAL,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,FEMALE,NA,NA,HOMELESS,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,FEMALE,NA,NA,TOTAL,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,TRANSGENDER,NA,NA,REGULAR,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,TRANSGENDER,NA,NA,INSTITUTIONAL,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,TRANSGENDER,NA,NA,HOMELESS,NA,NA,NA
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,URBAN,TRANSGENDER,NA,NA,TOTAL,NA,NA,NA
