province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,1 PERSON,1,639,0.53,2.67,19153,15.77,5.6,236
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,2 PERSONS,1,4245,3.49,1.95,19153,15.77,5.6,2036
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,3 PERSONS,1,5712,4.7,2.04,19153,15.77,5.6,2369
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,4 PERSONS,1,7657,6.3,2.13,19153,15.77,5.6,2719
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,5 PERSONS,1,9779,8.05,2.32,19153,15.77,5.6,2736
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,6 PERSONS,1,12099,9.96,2.49,19153,15.77,5.6,2653
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,7 PERSONS,1,13603,11.2,2.65,19153,15.77,5.6,2369
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,8 PERSONS,1,13367,11,2.89,19153,15.77,5.6,1633
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,9 PERSONS,1,11751,9.67,3.15,19153,15.77,5.6,981
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,10 PERSONS AND ABOVE,1,42635,35.09,4.22,19153,15.77,5.6,1421
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,1 PERSON,2,639,0.53,2.67,34022,28,7.1,129
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,2 PERSONS,2,4245,3.49,1.95,34022,28,7.1,1309
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,3 PERSONS,2,5712,4.7,2.04,34022,28,7.1,1959
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,4 PERSONS,2,7657,6.3,2.13,34022,28,7.1,2901
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,5 PERSONS,2,9779,8.05,2.32,34022,28,7.1,3820
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,6 PERSONS,2,12099,9.96,2.49,34022,28,7.1,4669
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,7 PERSONS,2,13603,11.2,2.65,34022,28,7.1,5087
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,8 PERSONS,2,13367,11,2.89,34022,28,7.1,4582
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,9 PERSONS,2,11751,9.67,3.15,34022,28,7.1,3433
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,10 PERSONS AND ABOVE,2,42635,35.09,4.22,34022,28,7.1,6133
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,1 PERSON,3,639,0.53,2.67,26709,21.99,8.75,96
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,2 PERSONS,3,4245,3.49,1.95,26709,21.99,8.75,433
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,3 PERSONS,3,5712,4.7,2.04,26709,21.99,8.75,749
