province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
FATA,033,FR BANNU,FR BANNU,TOTAL,ALL SEXES,43112,1172,7651,16013,22069,21145,7517,11086,18071,20595,17982,19746,1969,1238
FATA,033,FR BANNU,FR BANNU,TOTAL,MALE,22286,607,3880,8429,11721,11218,3816,5650,9122,10363,8971,9911,1034,641
FATA,033,FR BANNU,FR BANNU,TOTAL,FEMALE,20826,565,3771,7584,10348,9927,3701,5436,8949,10232,9011,9835,935,597
FATA,033,FR BANNU,FR BANNU,TOTAL,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,FR BANNU,RURAL,ALL SEXES,43112,1172,7651,16013,22069,21145,7517,11086,18071,20595,17982,19746,1969,1238
FATA,033,FR BANNU,FR BANNU,RURAL,MALE,22286,607,3880,8429,11721,11218,3816,5650,9122,10363,8971,9911,1034,641
FATA,033,FR BANNU,FR BANNU,RURAL,FEMALE,20826,565,3771,7584,10348,9927,3701,5436,8949,10232,9011,9835,935,597
FATA,033,FR BANNU,FR BANNU,RURAL,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,FR BANNU,URBAN,ALL SEXES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,FR BANNU,URBAN,MALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,FR BANNU,URBAN,FEMALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,FR BANNU,URBAN,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,TOTAL,ALL SEXES,43112,1172,7651,16013,22069,21145,7517,11086,18071,20595,17982,19746,1969,1238
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,TOTAL,MALE,22286,607,3880,8429,11721,11218,3816,5650,9122,10363,8971,9911,1034,641
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,TOTAL,FEMALE,20826,565,3771,7584,10348,9927,3701,5436,8949,10232,9011,9835,935,597
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,TOTAL,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,RURAL,ALL SEXES,43112,1172,7651,16013,22069,21145,7517,11086,18071,20595,17982,19746,1969,1238
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,RURAL,MALE,22286,607,3880,8429,11721,11218,3816,5650,9122,10363,8971,9911,1034,641
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,RURAL,FEMALE,20826,565,3771,7584,10348,9927,3701,5436,8949,10232,9011,9835,935,597
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,RURAL,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,URBAN,ALL SEXES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,URBAN,MALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,URBAN,FEMALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATA,033,FR BANNU,TRIBAL AREA ADJ. BANNU DISTRICT,URBAN,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
