province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
FATA,033,FR BANNU,FR BANNU,TOTAL,ALL SEXES,43112,100,REGULAR,4099,97.53,39923
FATA,033,FR BANNU,FR BANNU,TOTAL,ALL SEXES,43112,100,INSTITUTIONAL,102,2.43,3187
FATA,033,FR BANNU,FR BANNU,TOTAL,ALL SEXES,43112,100,HOMELESS,2,0.05,2
FATA,033,FR BANNU,FR BANNU,TOTAL,ALL SEXES,43112,100,TOTAL,4203,100,43112
FATA,033,FR BANNU,FR BANNU,TOTAL,MALE,22286,51.69,REGULAR,4099,97.53,20116
FATA,033,FR BANNU,FR BANNU,TOTAL,MALE,22286,51.69,INSTITUTIONAL,102,2.43,2168
FATA,033,FR BANNU,FR BANNU,TOTAL,MALE,22286,51.69,HOMELESS,2,0.05,2
FATA,033,FR BANNU,FR BANNU,TOTAL,MALE,22286,51.69,TOTAL,4203,100,22286
FATA,033,FR BANNU,FR BANNU,TOTAL,FEMALE,20826,48.31,REGULAR,4099,97.53,19807
FATA,033,FR BANNU,FR BANNU,TOTAL,FEMALE,20826,48.31,INSTITUTIONAL,102,2.43,1019
FATA,033,FR BANNU,FR BANNU,TOTAL,FEMALE,20826,48.31,HOMELESS,2,0.05,0
FATA,033,FR BANNU,FR BANNU,TOTAL,FEMALE,20826,48.31,TOTAL,4203,100,20826
FATA,033,FR BANNU,FR BANNU,TOTAL,TRANSGENDER,0,0,REGULAR,4099,97.53,0
FATA,033,FR BANNU,FR BANNU,TOTAL,TRANSGENDER,0,0,INSTITUTIONAL,102,2.43,0
FATA,033,FR BANNU,FR BANNU,TOTAL,TRANSGENDER,0,0,HOMELESS,2,0.05,0
FATA,033,FR BANNU,FR BANNU,TOTAL,TRANSGENDER,0,0,TOTAL,4203,100,0
FATA,033,FR BANNU,FR BANNU,RURAL,ALL SEXES,43112,100,REGULAR,4099,97.53,39923
FATA,033,FR BANNU,FR BANNU,RURAL,ALL SEXES,43112,100,INSTITUTIONAL,102,2.43,3187
FATA,033,FR BANNU,FR BANNU,RURAL,ALL SEXES,43112,100,HOMELESS,2,0.05,2
FATA,033,FR BANNU,FR BANNU,RURAL,ALL SEXES,43112,100,TOTAL,4203,100,43112
FATA,033,FR BANNU,FR BANNU,RURAL,MALE,22286,51.69,REGULAR,4099,97.53,20116
FATA,033,FR BANNU,FR BANNU,RURAL,MALE,22286,51.69,INSTITUTIONAL,102,2.43,2168
FATA,033,FR BANNU,FR BANNU,RURAL,MALE,22286,51.69,HOMELESS,2,0.05,2
FATA,033,FR BANNU,FR BANNU,RURAL,MALE,22286,51.69,TOTAL,4203,100,22286
FATA,033,FR BANNU,FR BANNU,RURAL,FEMALE,20826,48.31,REGULAR,4099,97.53,19807
FATA,033,FR BANNU,FR BANNU,RURAL,FEMALE,20826,48.31,INSTITUTIONAL,102,2.43,1019
