province_name,district_code,district_name,area_name,area_type,gender,count
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,BOTH SEXES,1403
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,MALE,1340
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,FEMALE,63
FATA,034,FR D.I.KHAN,FR D.I.KHAN,RURAL,BOTH SEXES,1403
FATA,034,FR D.I.KHAN,FR D.I.KHAN,RURAL,MALE,1340
FATA,034,FR D.I.KHAN,FR D.I.KHAN,RURAL,FEMALE,63
FATA,034,FR D.I.KHAN,FR D.I.KHAN,URBAN,BOTH SEXES,0
FATA,034,FR D.I.KHAN,FR D.I.KHAN,URBAN,MALE,0
FATA,034,FR D.I.KHAN,FR D.I.KHAN,URBAN,FEMALE,0
FATA,034,FR D.I.KHAN,TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,TOTAL,BOTH SEXES,1403
FATA,034,FR D.I.KHAN,TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,TOTAL,MALE,1340
FATA,034,FR D.I.KHAN,TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,TOTAL,FEMALE,63
FATA,034,FR D.I.KHAN,TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,RURAL,BOTH SEXES,1403
FATA,034,FR D.I.KHAN,TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,RURAL,MALE,1340
FATA,034,FR D.I.KHAN,TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,RURAL,FEMALE,63
FATA,034,FR D.I.KHAN,TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,URBAN,BOTH SEXES,0
FATA,034,FR D.I.KHAN,TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,URBAN,MALE,0
FATA,034,FR D.I.KHAN,TRIBAL AREA ADJ. DERA ISMAIL KHAN DISTRICT,URBAN,FEMALE,0
