province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,1,6536,95.85,774,11.35,722
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,1,76,1.11,774,11.35,9
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,1,207,3.04,774,11.35,43
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,2,6536,95.85,1919,28.14,1787
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,2,76,1.11,1919,28.14,34
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,2,207,3.04,1919,28.14,98
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,3,6536,95.85,1713,25.12,1640
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,3,76,1.11,1713,25.12,26
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,3,207,3.04,1713,25.12,47
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,4,6536,95.85,1008,14.78,999
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,4,76,1.11,1008,14.78,4
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,4,207,3.04,1008,14.78,5
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,5,6536,95.85,619,9.08,614
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,5,76,1.11,619,9.08,2
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,5,207,3.04,619,9.08,3
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6,6536,95.85,318,4.66,313
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,6,76,1.11,318,4.66,1
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,6,207,3.04,318,4.66,4
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,7,6536,95.85,170,2.49,169
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,7,76,1.11,170,2.49,0
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,7,207,3.04,170,2.49,1
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,8,6536,95.85,118,1.73,117
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,8,76,1.11,118,1.73,0
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,8,207,3.04,118,1.73,1
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,9,6536,95.85,180,2.64,175
