province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,INSIDE WATER,TOTAL INSIDE,3909,57.33,3772
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,INSIDE WATER,TAP,424,6.22,407
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,INSIDE WATER,ELECTRIC/HAND PUMP,356,5.22,349
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,INSIDE WATER,PROTECTED WELL,588,8.62,576
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,INSIDE WATER,UN-PROTECTED WELL,114,1.67,112
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,INSIDE WATER,OTHERS,2427,35.59,2328
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,OUTSIDE WATER,TOTAL OUTSIDE,2910,42.67,2764
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,OUTSIDE WATER,TAP,26,0.38,24
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,OUTSIDE WATER,ELECTRIC/HAND PUMP,57,0.84,52
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,OUTSIDE WATER,PROTECTED WELL,265,3.89,235
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,OUTSIDE WATER,UN-PROTECTED WELL,8,0.12,7
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,OUTSIDE WATER,SPRING,1671,24.51,1606
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,OUTSIDE WATER,CANAL/RIVER/POND,526,7.71,500
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,OUTSIDE WATER,OTHERS,357,5.24,340
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,COOKING FUEL,WOOD,6752,99.02,24
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,COOKING FUEL,GAS,27,0.4,52
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,COOKING FUEL,KEROSENE OIL,16,0.23,235
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,COOKING FUEL,OTHERS,24,0.35,7
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,LIGHTING SOURCE,ELECTRICITY,6752,99.02,6472
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,LIGHTING SOURCE,KEROSENE OIL,27,0.4,26
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,LIGHTING SOURCE,GAS LAMP,16,0.23,16
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,OWNED,6536,95.85,LIGHTING SOURCE,OTHERS,24,0.35,22
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,INSIDE WATER,TOTAL INSIDE,3909,57.33,42
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,INSIDE WATER,TAP,424,6.22,10
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,INSIDE WATER,ELECTRIC/HAND PUMP,356,5.22,2
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,INSIDE WATER,PROTECTED WELL,588,8.62,8
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,INSIDE WATER,UN-PROTECTED WELL,114,1.67,1
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,INSIDE WATER,OTHERS,2427,35.59,21
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,OUTSIDE WATER,TOTAL OUTSIDE,2910,42.67,34
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,OUTSIDE WATER,TAP,26,0.38,0
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,OUTSIDE WATER,ELECTRIC/HAND PUMP,57,0.84,1
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,OUTSIDE WATER,PROTECTED WELL,265,3.89,21
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,OUTSIDE WATER,UN-PROTECTED WELL,8,0.12,0
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,OUTSIDE WATER,SPRING,1671,24.51,4
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,OUTSIDE WATER,CANAL/RIVER/POND,526,7.71,1
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,OUTSIDE WATER,OTHERS,357,5.24,7
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,COOKING FUEL,WOOD,6752,99.02,0
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,COOKING FUEL,GAS,27,0.4,1
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,COOKING FUEL,KEROSENE OIL,16,0.23,21
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,COOKING FUEL,OTHERS,24,0.35,0
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,LIGHTING SOURCE,ELECTRICITY,6752,99.02,74
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,LIGHTING SOURCE,KEROSENE OIL,27,0.4,1
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,LIGHTING SOURCE,GAS LAMP,16,0.23,0
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENTED,76,1.11,LIGHTING SOURCE,OTHERS,24,0.35,1
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,207,3.04,INSIDE WATER,TOTAL INSIDE,3909,57.33,95
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,207,3.04,INSIDE WATER,TAP,424,6.22,7
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,207,3.04,INSIDE WATER,ELECTRIC/HAND PUMP,356,5.22,5
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,207,3.04,INSIDE WATER,PROTECTED WELL,588,8.62,4
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,207,3.04,INSIDE WATER,UN-PROTECTED WELL,114,1.67,1
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,207,3.04,INSIDE WATER,OTHERS,2427,35.59,78
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,207,3.04,OUTSIDE WATER,TOTAL OUTSIDE,2910,42.67,112
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,207,3.04,OUTSIDE WATER,TAP,26,0.38,2
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,207,3.04,OUTSIDE WATER,ELECTRIC/HAND PUMP,57,0.84,4
FATA,034,FR D.I.KHAN,FR D.I.KHAN,TOTAL,RENT FREE,207,3.04,OUTSIDE WATER,PROTECTED WELL,265,3.89,9
