province_name,district_code,district_name,area_name,area_type,gender,ed_attainment,age_group,count
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,TOTAL,5 AND ABOVE,101385
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,TOTAL,05 - 09,17511
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,TOTAL,10 - 14,14686
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,TOTAL,15 - 19,12783
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,TOTAL,20 - 24,11063
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,TOTAL,25 - 29,10154
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,TOTAL,30 - 34,7895
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,TOTAL,35 - 39,5823
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,TOTAL,40 AND ABOVE,21470
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,NEVER ATTAINED,5 AND ABOVE,47639
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,NEVER ATTAINED,05 - 09,7596
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,NEVER ATTAINED,10 - 14,3971
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,NEVER ATTAINED,15 - 19,4376
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,NEVER ATTAINED,20 - 24,4837
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,NEVER ATTAINED,25 - 29,4816
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,NEVER ATTAINED,30 - 34,3952
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,NEVER ATTAINED,35 - 39,3165
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,NEVER ATTAINED,40 AND ABOVE,14926
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,BELOW PRIMARY,5 AND ABOVE,17310
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,BELOW PRIMARY,05 - 09,9838
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,BELOW PRIMARY,10 - 14,3882
FATA,035,FR KOHAT,FR KOHAT,TOTAL,ALL SEXES,BELOW PRIMARY,15 - 19,865
