province_name,district_code,district_name,area_name,area_type,gender,religious_affiliation,count
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,ALL SEXES,TOTAL,64761
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,ALL SEXES,MUSLIM,64755
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,ALL SEXES,CHRISTIAN,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,ALL SEXES,HINDU,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,ALL SEXES,AHMADI,1
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,ALL SEXES,SCHEDULED CASTES,5
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,ALL SEXES,OTHERS,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,MALE,TOTAL,31676
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,MALE,MUSLIM,31670
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,MALE,CHRISTIAN,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,MALE,HINDU,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,MALE,AHMADI,1
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,MALE,SCHEDULED CASTES,5
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,MALE,OTHERS,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,FEMALE,TOTAL,33081
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,FEMALE,MUSLIM,33081
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,FEMALE,CHRISTIAN,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,FEMALE,HINDU,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,FEMALE,AHMADI,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,FEMALE,SCHEDULED CASTES,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,FEMALE,OTHERS,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,TRANSGENDER,TOTAL,4
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,TRANSGENDER,MUSLIM,4
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,TRANSGENDER,CHRISTIAN,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,TRANSGENDER,HINDU,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,TRANSGENDER,AHMADI,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,TRANSGENDER,SCHEDULED CASTES,0
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,TRANSGENDER,OTHERS,0
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,ALL SEXES,TOTAL,64761
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,ALL SEXES,MUSLIM,64755
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,ALL SEXES,CHRISTIAN,0
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,ALL SEXES,HINDU,0
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,ALL SEXES,AHMADI,1
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,ALL SEXES,SCHEDULED CASTES,5
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,ALL SEXES,OTHERS,0
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,MALE,TOTAL,31676
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,MALE,MUSLIM,31670
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,MALE,CHRISTIAN,0
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,MALE,HINDU,0
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,MALE,AHMADI,1
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,MALE,SCHEDULED CASTES,5
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,MALE,OTHERS,0
