province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
FATA,037,FR PESHAWAR,NA,NA,NA,YES,FR PESHAWAR,NA,64761,31676,33081,4,53.46,82.93,26.52,25,8664,2883,1,5921,1071,0,1251,204,0,64755,6,45703,32773,3717,7663,26945,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,NA,NA,YES,TRIBAL AREA ADJ. PESHAWAR DISTRICT,NA,64761,31676,33081,4,53.46,82.93,26.52,25,8664,2883,1,5921,1071,0,1251,204,0,64755,6,45703,32773,3717,7663,26945,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,NA,YES,HASSAN KHEL TRIBE,NA,64761,31676,33081,4,53.46,82.93,26.52,25,8664,2883,1,5921,1071,0,1251,204,0,64755,6,45703,32773,3717,7663,26945,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,YES,ASHO KHEL SECTION,NA,17302,8218,9084,0,48.34,75.79,25.81,0,2240,878,0,1206,363,0,161,51,0,17299,3,11737,8309,1051,2429,6564,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,NO,AHEER KHEL,0000000,2277,1066,1211,0,64.15,88.86,44.91,0,403,237,0,110,35,0,12,4,0,2277,0,1537,1049,125,354,849,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,NO,ALI KHEL,0000000,3295,1568,1727,0,52.22,76.83,31.84,0,388,196,0,328,151,0,44,19,0,3295,0,2325,1746,205,534,1423,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,NO,BASHI KHEL,0000000,1605,708,897,0,36.99,65.01,17.72,0,162,70,0,97,27,0,3,0,0,1605,0,1038,683,82,92,571,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,NO,FARIDI,0000000,2165,981,1184,0,29.99,65.68,5.3,0,281,41,0,82,3,0,14,0,0,2165,0,1404,959,133,169,650,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,NO,MAHABAT KHEL,0000000,1547,800,747,0,53.17,80.48,24.86,0,209,42,0,87,22,0,26,8,0,1546,1,1057,762,100,326,632,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,NO,MURAD KHEL,0000000,1377,621,756,0,34.45,63.43,14.82,0,130,42,0,59,4,0,2,0,0,1377,0,894,595,86,152,457,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,NO,PAKHI BALA,0000000,1908,967,941,0,38.5,64.69,10.96,0,248,41,0,159,16,0,19,0,0,1906,2,1348,1008,144,318,728,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,NO,ROKHAN KHEL-I,0000000,1190,581,609,0,67.73,93.9,45.21,0,174,99,0,136,64,0,12,10,0,1190,0,815,584,67,203,499,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,NO,ROKHAN KHEL-II,0000000,731,368,363,0,63.47,89.21,39.62,0,105,47,0,60,20,0,12,3,0,731,0,501,350,33,146,296,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,ASHO KHEL SECTION,NO,SAMBI KHEL,0000000,1207,558,649,0,50.12,75.83,29.91,0,140,63,0,88,21,0,17,7,0,1207,0,818,573,76,135,459,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,BORA SECTION,YES,BORA SECTION,NA,1357,665,692,0,45.48,79.33,13.44,0,214,29,0,103,2,0,10,1,0,1355,2,985,718,74,253,606,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,BORA SECTION,NO,BORA ALI KHEL,0000000,422,182,240,0,48.29,92.97,13.41,0,63,11,0,30,1,0,8,0,0,422,0,292,203,25,41,174,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,BORA SECTION,NO,MOVEL KHEL,0000000,653,360,293,0,41.1,69.17,7.62,0,114,12,0,48,1,0,1,1,0,651,2,489,364,33,177,319,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,BORA SECTION,NO,SHERA KHEL,0000000,282,123,159,0,51.96,90.59,24.37,0,37,6,0,25,0,0,1,0,0,282,0,204,151,16,35,113,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,HASSAN KHEL TRIBE,BORA/JAWAKI SECTION,YES,BORA/JAWAKI SECTION,NA,5083,2555,2528,0,45.66,82.08,11.31,0,759,100,0,478,21,0,76,5,0,5083,0,3712,2696,353,632,2294,0
