province_name,district_code,district_name,area_name,area_type,gender,count
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,ALL SEXES,6934
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,MALE,6413
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,FEMALE,521
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,TRANSGENDER,0
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,ALL SEXES,6934
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,MALE,6413
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,FEMALE,521
FATA,037,FR PESHAWAR,FR PESHAWAR,RURAL,TRANSGENDER,0
FATA,037,FR PESHAWAR,FR PESHAWAR,URBAN,ALL SEXES,0
FATA,037,FR PESHAWAR,FR PESHAWAR,URBAN,MALE,0
FATA,037,FR PESHAWAR,FR PESHAWAR,URBAN,FEMALE,0
FATA,037,FR PESHAWAR,FR PESHAWAR,URBAN,TRANSGENDER,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,TOTAL,ALL SEXES,6934
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,TOTAL,MALE,6413
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,TOTAL,FEMALE,521
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,TOTAL,TRANSGENDER,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,RURAL,ALL SEXES,6934
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,RURAL,MALE,6413
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,RURAL,FEMALE,521
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,RURAL,TRANSGENDER,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,URBAN,ALL SEXES,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,URBAN,MALE,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,URBAN,FEMALE,0
FATA,037,FR PESHAWAR,TRIBAL AREA ADJ. PESHAWAR DISTRICT,URBAN,TRANSGENDER,0
