province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,KITCHEN,SEPARATE,3456,49.84,43
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,KITCHEN,SHARED,3178,45.83,19
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,KITCHEN,NONE,300,4.33,6
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,BATH,SEPARATE,3821,55.11,44
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,BATH,SHARED,2866,41.33,18
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,BATH,NONE,247,3.56,6
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,LATRINE,SEWER,328,4.73,5
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,LATRINE,SEPTIC TANK,1169,16.86,18
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,LATRINE,OPEN DRAIN,397,5.73,3
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,LATRINE,PIT WITH SLAB,4006,57.77,33
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,LATRINE,OTHER,374,5.39,5
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,UNDER CONSTRUCTION,68,0.98,LATRINE,NONE,660,9.52,4
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,KITCHEN,SEPARATE,3456,49.84,279
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,KITCHEN,SHARED,3178,45.83,158
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,KITCHEN,NONE,300,4.33,26
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,BATH,SEPARATE,3821,55.11,314
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,BATH,SHARED,2866,41.33,134
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,BATH,NONE,247,3.56,15
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,LATRINE,SEWER,328,4.73,16
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,LATRINE,SEPTIC TANK,1169,16.86,96
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,LATRINE,OPEN DRAIN,397,5.73,20
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,LATRINE,PIT WITH SLAB,4006,57.77,271
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,LATRINE,OTHER,374,5.39,28
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,LESS THAN 5 YEARS,463,6.68,LATRINE,NONE,660,9.52,32
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,5-10 YEARS,1364,19.67,KITCHEN,SEPARATE,3456,49.84,837
FATA,037,FR PESHAWAR,FR PESHAWAR,TOTAL,5-10 YEARS,1364,19.67,KITCHEN,SHARED,3178,45.83,471
